CUMULATIVE_TIME,SCORE
81,0 - 3
107,0 - 5
128,1 - 5
147,3 - 5
162,3 - 8
199,5 - 8
210,5 - 11
240,5 - 13
257,7 - 13
273,7 - 15
288,9 - 15
288,10 - 15
303,10 - 18
337,10 - 20
378,10 - 22
390,12 - 22
435,13 - 22
435,14 - 22
435,15 - 22
503,15 - 25
522,17 - 25
551,17 - 27
571,17 - 29
588,19 - 29
621,19 - 31
652,19 - 33
677,19 - 35
682,20 - 35
682,21 - 35
692,23 - 35
720,23 - 35
720,23 - 35
734,25 - 35
752,25 - 37
795,26 - 37
795,27 - 37
803,27 - 39
822,29 - 39
855,31 - 39
902,33 - 39
914,34 - 39
914,35 - 39
943,36 - 39
943,37 - 39
958,37 - 40
958,37 - 41
971,40 - 41
992,40 - 42
1056,40 - 43
1056,40 - 44
1068,42 - 44
1074,42 - 47
1092,44 - 47
1102,44 - 48
1102,44 - 49
1118,45 - 49
1118,46 - 49
1133,48 - 49
1150,48 - 52
1165,50 - 52
1179,50 - 54
1194,52 - 54
1209,52 - 57
1230,52 - 59
1258,52 - 60
1258,52 - 61
1276,54 - 61
1300,56 - 61
1317,56 - 63
1334,58 - 63
1359,61 - 63
1374,61 - 66
1390,62 - 66
1390,63 - 66
1401,63 - 67
1401,63 - 68
1416,65 - 68
1434,65 - 71
1440,67 - 71
1440,67 - 71
1440,67 - 71
1471,67 - 73
1533,67 - 75
1556,69 - 75
1569,69 - 77
1601,69 - 79
1628,70 - 79
1642,70 - 81
1655,72 - 81
1692,74 - 81
1726,74 - 83
1758,74 - 84
1758,74 - 85
1777,75 - 85
1777,76 - 85
1812,76 - 87
1830,77 - 87
1830,78 - 87
1851,81 - 87
1883,81 - 90
1910,83 - 90
1921,83 - 91
1921,83 - 92
1932,84 - 92
1932,85 - 92
1946,85 - 94
1962,87 - 94
1990,87 - 96
2009,89 - 96
2009,90 - 96
2035,91 - 96
2035,92 - 96
2057,94 - 96
2078,94 - 98
2096,96 - 98
2127,98 - 98
2134,98 - 100
2156,100 - 100
2160,100 - 100
2160,100 - 100
2245,102 - 100
2275,102 - 103
2309,102 - 105
2349,104 - 105
2356,104 - 107
2411,106 - 107
2429,106 - 109
2479,106 - 110
2479,106 - 111
2493,108 - 111
2500,108 - 112
2500,108 - 113
2519,111 - 113
2531,111 - 116
2547,114 - 116
2569,114 - 117
2569,114 - 118
2594,114 - 120
2614,116 - 120
2655,116 - 121
2670,118 - 121
2688,121 - 121
2688,122 - 121
2709,122 - 122
2718,123 - 122
2718,124 - 122
2735,124 - 124
2797,124 - 125
2797,124 - 126
2797,124 - 127
2818,124 - 129
2843,124 - 131
2858,124 - 133
2862,126 - 133
2880,126 - 133
