CUMULATIVE_TIME,SCORE
16,2 - 0
16,2 - 0
35,2 - 3
59,5 - 3
82,5 - 5
126,5 - 7
131,6 - 7
148,8 - 7
166,8 - 8
166,8 - 9
199,8 - 11
211,10 - 11
227,12 - 11
251,14 - 11
268,14 - 13
290,16 - 13
325,18 - 13
426,18 - 15
459,20 - 15
483,20 - 18
537,22 - 18
550,22 - 21
568,24 - 21
601,26 - 21
617,26 - 23
641,28 - 23
665,28 - 26
716,28 - 29
720,28 - 29
720,28 - 29
755,28 - 31
771,30 - 31
771,31 - 31
813,33 - 31
837,33 - 33
860,34 - 33
860,35 - 33
893,35 - 35
913,37 - 35
975,37 - 37
1041,38 - 37
1124,38 - 39
1152,38 - 41
1185,38 - 42
1185,38 - 43
1204,38 - 45
1222,40 - 45
1232,40 - 47
1260,40 - 49
1260,40 - 50
1303,42 - 50
1303,43 - 50
1334,43 - 53
1376,45 - 53
1391,45 - 55
1404,47 - 55
1413,47 - 56
1413,47 - 57
1430,50 - 57
1440,50 - 57
1440,50 - 57
1490,50 - 59
1532,52 - 59
1576,52 - 62
1636,52 - 65
1653,54 - 65
1700,54 - 67
1700,54 - 68
1718,56 - 68
1750,58 - 68
1765,58 - 70
1789,60 - 70
1800,60 - 72
1826,60 - 74
1826,60 - 75
1852,60 - 76
1901,62 - 76
1965,65 - 76
1981,65 - 78
2011,65 - 79
2011,65 - 80
2029,65 - 81
2055,67 - 81
2069,67 - 83
2094,68 - 83
2131,68 - 85
2156,68 - 87
2160,68 - 87
2160,68 - 87
2220,68 - 90
2237,70 - 90
2260,72 - 90
2283,72 - 92
2411,74 - 92
2444,77 - 92
2479,77 - 94
2526,79 - 94
2545,79 - 96
2563,82 - 96
2581,82 - 99
2634,82 - 100
2634,82 - 101
2658,85 - 101
2681,87 - 101
2706,89 - 101
2706,90 - 101
2767,91 - 101
2767,92 - 101
2788,92 - 103
2806,92 - 105
2813,95 - 105
2815,95 - 106
2820,98 - 106
2880,98 - 106
