CUMULATIVE_TIME,SCORE
63,3 - 0
81,3 - 2
107,5 - 2
121,5 - 4
146,5 - 5
146,5 - 6
174,7 - 6
191,7 - 8
202,7 - 10
221,9 - 10
262,9 - 12
272,11 - 12
288,11 - 13
303,13 - 13
317,13 - 16
332,15 - 16
349,15 - 18
359,17 - 18
405,20 - 18
433,22 - 18
433,23 - 18
452,23 - 20
491,24 - 20
491,25 - 20
499,25 - 22
510,26 - 22
528,26 - 25
552,26 - 27
580,26 - 29
595,27 - 29
609,27 - 31
629,29 - 31
660,31 - 31
684,33 - 31
697,33 - 32
697,33 - 33
717,35 - 33
720,35 - 33
720,35 - 33
765,37 - 33
804,38 - 33
804,39 - 33
823,39 - 35
832,41 - 35
894,41 - 37
917,41 - 39
931,44 - 39
949,44 - 41
968,45 - 41
968,46 - 41
982,46 - 43
1002,46 - 46
1020,48 - 46
1034,48 - 47
1049,51 - 47
1071,51 - 49
1107,51 - 51
1131,51 - 53
1144,51 - 56
1173,51 - 58
1192,53 - 58
1214,53 - 60
1341,53 - 62
1361,55 - 62
1376,55 - 63
1376,55 - 64
1394,56 - 64
1394,57 - 64
1419,57 - 66
1435,60 - 66
1440,60 - 67
1440,60 - 69
1440,60 - 69
1440,60 - 69
1440,60 - 70
1456,63 - 70
1509,63 - 73
1522,65 - 73
1562,65 - 75
1571,68 - 75
1593,69 - 75
1593,70 - 75
1619,70 - 77
1652,72 - 77
1671,72 - 79
1682,74 - 79
1740,77 - 79
1755,77 - 81
1799,79 - 81
1812,79 - 84
1827,81 - 84
1845,81 - 86
1872,84 - 86
1892,84 - 89
1909,84 - 91
1946,84 - 93
1958,86 - 93
2003,88 - 93
2064,89 - 93
2100,89 - 95
2156,91 - 95
2160,91 - 98
2160,91 - 98
2160,91 - 98
2200,91 - 101
2257,93 - 101
2297,94 - 101
2297,95 - 101
2328,97 - 101
2342,97 - 103
2382,97 - 105
2432,99 - 105
2454,99 - 107
2479,101 - 107
2495,101 - 109
2508,103 - 109
2523,103 - 111
2550,103 - 114
2572,104 - 114
2642,104 - 116
2665,106 - 116
2685,106 - 118
2685,106 - 119
2693,107 - 119
2693,108 - 119
2693,109 - 119
2715,109 - 120
2724,111 - 120
2745,111 - 121
2745,111 - 122
2775,111 - 124
2805,111 - 126
2805,111 - 127
2820,113 - 127
2873,114 - 127
2873,115 - 127
2880,115 - 127
