CUMULATIVE_TIME,SCORE
44,0 - 3
56,3 - 3
90,3 - 5
115,5 - 5
131,5 - 7
152,6 - 7
168,6 - 8
183,7 - 8
199,8 - 8
199,9 - 8
240,9 - 10
259,10 - 10
259,11 - 10
275,11 - 13
302,11 - 15
320,13 - 15
320,14 - 15
354,14 - 17
437,16 - 17
469,16 - 18
469,16 - 19
502,18 - 19
514,18 - 22
529,19 - 22
529,20 - 22
585,22 - 22
614,23 - 22
636,25 - 22
658,26 - 22
658,27 - 22
670,27 - 24
685,29 - 24
690,29 - 25
690,29 - 26
710,31 - 26
720,31 - 27
720,31 - 28
720,31 - 28
720,31 - 28
767,34 - 28
811,34 - 30
834,35 - 30
854,35 - 32
924,35 - 34
956,35 - 37
978,35 - 39
999,38 - 39
1081,38 - 41
1120,38 - 43
1136,41 - 43
1165,41 - 45
1192,41 - 47
1228,41 - 50
1245,44 - 50
1282,46 - 50
1298,46 - 53
1319,48 - 53
1341,48 - 54
1355,51 - 54
1373,51 - 56
1388,53 - 56
1397,53 - 58
1415,55 - 58
1435,55 - 60
1440,55 - 60
1440,55 - 60
1495,57 - 60
1508,57 - 62
1545,60 - 62
1617,60 - 64
1666,60 - 66
1666,60 - 67
1675,61 - 67
1675,62 - 67
1693,62 - 69
1735,63 - 69
1758,63 - 71
1838,63 - 73
1859,63 - 74
1914,63 - 75
1914,63 - 76
1979,64 - 76
1979,65 - 76
2009,67 - 76
2022,67 - 78
2022,67 - 79
2034,69 - 79
2058,69 - 81
2083,69 - 83
2160,69 - 86
2160,69 - 86
2160,69 - 86
2200,71 - 86
2233,74 - 86
2264,77 - 86
2281,79 - 86
2300,79 - 89
2321,82 - 89
2356,84 - 89
2375,84 - 91
2508,86 - 91
2535,86 - 92
2571,86 - 94
2578,88 - 94
2602,91 - 94
2625,93 - 94
2650,93 - 97
2676,93 - 99
2715,95 - 99
2730,95 - 102
2746,95 - 104
2746,95 - 105
2758,96 - 105
2770,96 - 107
2832,98 - 107
2832,99 - 107
2867,99 - 110
2878,101 - 110
2880,101 - 110
