CUMULATIVE_TIME,SCORE
13,0 - 2
25,2 - 2
44,2 - 4
68,5 - 4
90,7 - 4
122,7 - 6
154,7 - 8
191,9 - 8
219,9 - 10
240,11 - 10
258,13 - 10
297,15 - 10
315,15 - 13
342,15 - 15
370,15 - 17
388,16 - 17
401,16 - 19
422,17 - 19
449,19 - 19
463,19 - 20
463,19 - 21
483,19 - 23
516,20 - 23
527,20 - 25
561,20 - 27
590,20 - 28
618,23 - 28
674,23 - 31
720,23 - 31
720,23 - 31
762,25 - 31
801,27 - 31
819,27 - 34
882,27 - 36
936,29 - 36
976,29 - 37
976,29 - 38
987,31 - 38
987,32 - 38
1014,32 - 41
1042,32 - 43
1080,32 - 44
1097,34 - 44
1120,36 - 44
1141,36 - 47
1168,36 - 49
1207,38 - 49
1225,39 - 49
1259,41 - 49
1270,41 - 50
1270,41 - 51
1296,41 - 53
1339,43 - 53
1349,43 - 56
1375,44 - 56
1391,45 - 56
1405,45 - 57
1405,45 - 58
1411,46 - 58
1411,47 - 58
1439,48 - 58
1440,48 - 58
1440,48 - 58
1458,48 - 60
1477,50 - 60
1500,50 - 62
1523,52 - 62
1536,52 - 65
1568,52 - 68
1603,52 - 70
1619,53 - 70
1657,53 - 72
1678,55 - 72
1710,55 - 73
1746,57 - 73
1764,57 - 75
1805,57 - 78
1824,58 - 78
1824,59 - 78
1860,59 - 81
1886,60 - 81
1910,63 - 81
1944,63 - 83
1994,63 - 84
1994,63 - 85
2088,63 - 87
2088,63 - 88
2130,65 - 88
2160,66 - 88
2160,67 - 88
2160,67 - 88
2160,67 - 88
2216,67 - 90
2279,67 - 92
2340,67 - 94
2405,68 - 94
2445,70 - 94
2470,70 - 95
2470,70 - 96
2505,71 - 96
2507,73 - 96
2521,75 - 96
2540,75 - 98
2567,75 - 100
2588,78 - 100
2619,80 - 100
2665,83 - 100
2676,83 - 102
2692,85 - 102
2734,86 - 102
2734,87 - 102
2755,87 - 103
2763,90 - 103
2778,90 - 106
2787,91 - 106
2801,91 - 108
2818,94 - 108
2860,94 - 110
2866,97 - 110
2880,97 - 110
