CUMULATIVE_TIME,SCORE
20,3 - 0
88,3 - 1
88,3 - 2
113,3 - 3
128,4 - 3
128,5 - 3
128,6 - 3
144,6 - 6
167,6 - 8
196,6 - 11
219,7 - 11
219,8 - 11
219,9 - 11
238,9 - 13
238,9 - 14
274,9 - 16
293,11 - 16
308,11 - 18
335,11 - 20
350,13 - 20
351,13 - 21
374,16 - 21
383,16 - 23
404,16 - 26
432,18 - 26
481,18 - 28
501,18 - 30
520,20 - 30
552,21 - 30
568,21 - 31
568,21 - 32
579,22 - 32
587,24 - 32
670,27 - 32
706,29 - 32
720,29 - 32
720,29 - 32
767,29 - 34
777,30 - 34
777,31 - 34
785,31 - 36
819,33 - 36
864,36 - 36
885,36 - 38
896,36 - 40
938,36 - 42
963,37 - 42
994,39 - 42
1014,39 - 45
1049,39 - 47
1076,39 - 49
1111,39 - 51
1199,40 - 51
1218,40 - 54
1312,40 - 56
1325,42 - 56
1346,42 - 58
1385,42 - 60
1411,42 - 61
1411,42 - 62
1440,42 - 62
1440,42 - 62
1457,42 - 64
1457,42 - 65
1470,44 - 65
1499,44 - 67
1559,44 - 69
1575,47 - 69
1611,47 - 72
1651,49 - 72
1656,50 - 72
1658,50 - 72
1658,50 - 73
1661,52 - 73
1734,52 - 75
1757,52 - 77
1800,52 - 79
1832,52 - 82
1842,53 - 82
1842,54 - 82
1865,56 - 82
1882,56 - 84
1890,57 - 84
1890,58 - 84
1909,60 - 84
1909,61 - 84
1926,64 - 84
1953,64 - 87
1969,64 - 89
1981,64 - 90
2004,64 - 93
2018,67 - 93
2034,67 - 94
2053,69 - 94
2073,70 - 94
2086,70 - 97
2100,73 - 97
2110,73 - 100
2121,75 - 100
2121,76 - 100
2139,78 - 100
2160,78 - 102
2160,78 - 102
2160,78 - 102
2225,78 - 104
2291,80 - 104
2312,80 - 106
2321,81 - 106
2321,82 - 106
2335,84 - 106
2377,84 - 108
2401,87 - 108
2423,87 - 110
2465,89 - 110
2485,89 - 112
2520,92 - 112
2547,95 - 112
2569,95 - 114
2597,96 - 114
2597,97 - 114
2628,99 - 114
2628,100 - 114
2664,103 - 114
2686,105 - 114
2703,105 - 115
2703,105 - 116
2720,107 - 116
2737,107 - 119
2782,107 - 121
2786,108 - 121
2800,108 - 123
2805,111 - 123
2835,113 - 123
2874,113 - 126
2880,113 - 126
