CUMULATIVE_TIME,SCORE
27,0 - 3
62,0 - 6
81,0 - 8
108,2 - 8
184,4 - 8
204,4 - 10
249,6 - 10
271,8 - 10
301,8 - 12
321,9 - 12
350,11 - 12
357,11 - 14
378,13 - 14
402,15 - 14
432,16 - 14
472,16 - 15
502,16 - 18
514,18 - 18
553,18 - 20
573,20 - 20
608,23 - 20
634,23 - 22
658,23 - 25
667,25 - 25
689,27 - 25
701,27 - 27
717,29 - 27
720,29 - 27
720,29 - 27
720,29 - 27
751,29 - 30
774,29 - 31
774,29 - 32
795,31 - 32
851,33 - 32
868,33 - 34
916,35 - 34
948,37 - 34
964,37 - 35
964,37 - 36
1026,37 - 38
1062,40 - 38
1084,40 - 41
1096,42 - 41
1132,43 - 41
1132,44 - 41
1151,44 - 43
1172,46 - 43
1184,46 - 45
1207,48 - 45
1223,48 - 47
1248,48 - 50
1270,48 - 52
1295,51 - 52
1324,53 - 52
1334,53 - 55
1358,53 - 56
1377,53 - 57
1377,53 - 58
1400,53 - 60
1430,53 - 61
1430,53 - 62
1437,55 - 62
1440,55 - 62
1440,55 - 62
1458,55 - 64
1519,55 - 66
1519,55 - 67
1539,55 - 69
1632,56 - 69
1632,57 - 69
1647,57 - 71
1672,58 - 71
1695,60 - 71
1706,60 - 74
1792,61 - 74
1792,62 - 74
1808,62 - 76
1856,64 - 76
1889,66 - 76
1940,66 - 78
2021,68 - 78
2040,68 - 80
2070,68 - 83
2118,68 - 86
2156,68 - 89
2160,68 - 89
2160,68 - 89
2183,70 - 89
2239,70 - 92
2261,72 - 92
2290,74 - 92
2329,74 - 94
2334,75 - 94
2348,75 - 96
2381,78 - 96
2408,81 - 96
2459,81 - 99
2482,83 - 99
2503,83 - 102
2533,83 - 105
2575,85 - 105
2631,87 - 105
2660,88 - 105
2660,89 - 105
2679,90 - 105
2714,92 - 105
2737,92 - 107
2764,92 - 110
2775,93 - 110
2775,94 - 110
2828,96 - 110
2861,99 - 110
2880,99 - 110
