CUMULATIVE_TIME,SCORE
15,0 - 3
50,0 - 4
50,0 - 5
57,2 - 5
78,2 - 6
143,5 - 6
179,6 - 6
179,7 - 6
197,7 - 8
208,9 - 8
221,9 - 10
257,11 - 10
280,13 - 10
287,13 - 11
287,13 - 12
301,15 - 12
330,18 - 12
362,18 - 14
377,20 - 14
395,20 - 16
424,22 - 16
473,24 - 16
487,24 - 18
544,26 - 18
586,26 - 19
651,26 - 21
670,28 - 21
683,28 - 22
683,28 - 23
690,30 - 23
720,30 - 23
720,30 - 23
774,30 - 25
799,32 - 25
834,34 - 25
858,36 - 25
880,36 - 27
880,36 - 28
909,36 - 30
928,36 - 32
979,36 - 34
1222,38 - 34
1248,39 - 34
1277,41 - 34
1294,41 - 37
1316,44 - 37
1338,44 - 40
1389,44 - 42
1389,44 - 43
1433,44 - 46
1439,45 - 46
1439,46 - 46
1440,46 - 46
1440,46 - 46
1461,48 - 46
1508,48 - 47
1508,48 - 48
1548,48 - 50
1591,48 - 52
1620,51 - 52
1625,51 - 54
1712,54 - 54
1730,54 - 57
1776,56 - 57
1799,56 - 58
1799,56 - 59
1812,58 - 59
1837,60 - 59
1874,61 - 59
1890,61 - 61
1933,61 - 64
1961,61 - 66
1998,64 - 66
2036,67 - 66
2064,69 - 66
2064,70 - 66
2080,70 - 69
2093,72 - 69
2106,72 - 71
2121,74 - 71
2127,74 - 73
2159,76 - 73
2160,76 - 73
2160,76 - 73
2175,76 - 75
2203,76 - 77
2218,78 - 77
2316,80 - 77
2364,80 - 79
2377,81 - 79
2394,81 - 81
2440,84 - 81
2455,84 - 83
2500,86 - 83
2515,86 - 85
2536,86 - 87
2573,86 - 89
2595,89 - 89
2616,89 - 91
2644,89 - 93
2644,89 - 94
2683,89 - 96
2701,89 - 98
2737,89 - 99
2737,89 - 100
2754,91 - 100
2775,91 - 102
2808,92 - 102
2808,93 - 102
2825,93 - 105
2880,93 - 105
