CUMULATIVE_TIME,SCORE
22,3 - 0
93,3 - 2
132,3 - 4
160,3 - 6
160,3 - 7
178,5 - 7
243,7 - 7
258,7 - 9
298,7 - 12
347,7 - 13
347,7 - 14
393,9 - 14
455,11 - 14
534,11 - 16
580,11 - 18
657,11 - 19
677,12 - 19
714,15 - 19
720,15 - 19
720,15 - 19
736,15 - 21
785,15 - 24
814,17 - 24
867,17 - 26
890,19 - 26
895,19 - 28
920,21 - 28
950,23 - 28
967,23 - 31
1050,25 - 31
1062,25 - 34
1086,28 - 34
1105,28 - 36
1132,30 - 36
1189,33 - 36
1222,35 - 36
1234,35 - 38
1234,35 - 39
1263,35 - 42
1330,35 - 44
1359,38 - 44
1383,38 - 47
1396,40 - 47
1406,40 - 49
1440,40 - 49
1440,40 - 49
1469,40 - 50
1539,42 - 50
1558,44 - 50
1576,44 - 53
1603,45 - 53
1603,46 - 53
1614,46 - 55
1630,48 - 55
1661,51 - 55
1681,51 - 57
1714,51 - 59
1731,52 - 59
1731,53 - 59
1760,53 - 61
1774,54 - 61
1774,55 - 61
1801,55 - 63
1821,58 - 63
1832,58 - 65
1851,58 - 67
1863,61 - 67
1921,61 - 69
1943,63 - 69
1957,63 - 71
1963,64 - 71
1973,64 - 73
1995,64 - 74
1995,64 - 75
2024,64 - 76
2024,64 - 77
2035,67 - 77
2047,67 - 79
2063,68 - 79
2063,69 - 79
2080,69 - 80
2080,69 - 81
2094,71 - 81
2107,71 - 83
2131,71 - 85
2150,73 - 85
2160,73 - 85
2160,73 - 85
2175,73 - 86
2175,73 - 87
2190,75 - 87
2242,75 - 89
2260,77 - 89
2340,79 - 89
2340,80 - 89
2370,83 - 89
2395,83 - 91
2426,83 - 93
2513,83 - 95
2538,83 - 96
2576,84 - 96
2576,85 - 96
2596,85 - 97
2666,86 - 97
2682,86 - 98
2682,86 - 99
2699,88 - 99
2717,88 - 100
2717,88 - 101
2771,89 - 101
2784,89 - 104
2788,90 - 104
2788,91 - 104
2801,91 - 105
2801,91 - 106
2880,91 - 106
