CUMULATIVE_TIME,SCORE
41,2 - 0
82,4 - 0
88,4 - 2
113,4 - 5
195,4 - 8
213,6 - 8
223,9 - 8
243,11 - 8
268,13 - 8
293,13 - 10
341,13 - 13
380,13 - 15
408,13 - 17
440,13 - 20
455,15 - 20
455,16 - 20
532,18 - 20
547,18 - 22
570,18 - 24
597,20 - 24
627,21 - 24
627,22 - 24
643,22 - 26
695,24 - 26
716,24 - 27
716,24 - 28
720,24 - 28
720,24 - 28
736,24 - 30
748,26 - 30
767,26 - 32
795,27 - 32
795,28 - 32
795,29 - 32
858,30 - 32
858,31 - 32
871,31 - 34
888,33 - 34
910,33 - 36
935,33 - 38
977,33 - 40
1003,33 - 42
1070,35 - 42
1101,36 - 42
1101,37 - 42
1127,37 - 44
1141,40 - 44
1156,40 - 46
1178,40 - 49
1178,40 - 50
1186,41 - 50
1186,42 - 50
1281,45 - 50
1303,45 - 53
1366,45 - 55
1366,45 - 56
1378,46 - 56
1378,47 - 56
1396,47 - 59
1440,47 - 59
1440,47 - 59
1461,49 - 59
1507,49 - 61
1548,51 - 61
1566,51 - 63
1584,54 - 63
1584,55 - 63
1615,55 - 65
1642,55 - 66
1802,58 - 66
1825,58 - 69
1865,61 - 69
1876,61 - 70
1876,61 - 71
1899,61 - 74
1948,62 - 74
1957,62 - 76
2036,63 - 76
2040,63 - 77
2040,63 - 78
2053,64 - 78
2101,64 - 81
2150,64 - 83
2160,64 - 83
2160,64 - 83
2193,64 - 85
2215,65 - 85
2215,66 - 85
2234,66 - 88
2255,66 - 90
2276,68 - 90
2302,68 - 92
2322,70 - 92
2339,70 - 94
2384,72 - 94
2420,73 - 94
2433,73 - 97
2447,75 - 97
2469,75 - 99
2505,75 - 101
2505,75 - 102
2520,76 - 102
2535,76 - 105
2548,77 - 105
2548,78 - 105
2591,80 - 105
2631,82 - 105
2673,85 - 105
2691,85 - 107
2737,87 - 107
2770,89 - 107
2770,90 - 107
2781,90 - 109
2806,90 - 110
2806,90 - 111
2821,93 - 111
2833,93 - 114
2880,95 - 114
2880,95 - 114
