CUMULATIVE_TIME,SCORE
40,0 - 2
46,2 - 2
85,4 - 2
101,4 - 4
116,6 - 4
157,8 - 4
157,9 - 4
189,9 - 6
200,11 - 6
219,12 - 6
219,13 - 6
234,15 - 6
276,15 - 8
292,17 - 8
311,17 - 10
349,17 - 12
362,20 - 12
362,20 - 12
391,22 - 12
419,23 - 12
419,24 - 12
445,27 - 12
476,29 - 12
487,29 - 13
551,32 - 13
572,32 - 15
612,32 - 18
656,34 - 18
686,34 - 21
720,34 - 23
720,34 - 23
720,34 - 23
728,34 - 24
728,34 - 25
776,35 - 25
776,36 - 25
787,36 - 27
796,39 - 27
827,39 - 28
827,39 - 29
855,39 - 31
865,42 - 31
894,44 - 31
894,45 - 31
908,45 - 33
942,47 - 33
961,47 - 34
970,49 - 34
982,49 - 36
1034,51 - 36
1034,52 - 36
1051,54 - 36
1074,56 - 36
1099,56 - 37
1118,56 - 38
1118,56 - 39
1158,57 - 39
1158,58 - 39
1170,58 - 40
1170,58 - 41
1206,58 - 43
1222,61 - 43
1248,63 - 43
1248,64 - 43
1269,64 - 45
1285,64 - 47
1316,64 - 50
1332,66 - 50
1352,69 - 50
1362,69 - 51
1376,70 - 51
1376,71 - 51
1394,71 - 53
1394,71 - 54
1405,73 - 54
1405,74 - 54
1410,74 - 55
1440,74 - 55
1440,74 - 55
1462,75 - 55
1462,76 - 55
1481,76 - 57
1520,79 - 57
1570,79 - 58
1570,79 - 59
1587,81 - 59
1617,81 - 61
1626,83 - 61
1637,83 - 62
1637,83 - 63
1649,85 - 63
1666,85 - 64
1666,85 - 65
1684,88 - 65
1708,91 - 65
1722,91 - 67
1753,93 - 67
1753,94 - 67
1768,94 - 69
1768,94 - 70
1783,97 - 70
1810,98 - 70
1810,99 - 70
1821,99 - 71
1837,102 - 71
1862,102 - 73
1874,104 - 73
1907,107 - 73
1929,107 - 75
1980,109 - 75
2033,109 - 77
2050,110 - 77
2050,111 - 77
2068,113 - 77
2087,115 - 77
2099,115 - 79
2160,115 - 79
2160,115 - 79
2168,116 - 79
2168,117 - 79
2180,117 - 81
2197,117 - 83
2209,119 - 83
2223,119 - 84
2223,119 - 85
2244,121 - 85
2258,121 - 87
2272,123 - 87
2289,123 - 89
2304,125 - 89
2323,125 - 91
2361,125 - 92
2378,126 - 92
2390,126 - 94
2413,127 - 94
2427,127 - 95
2452,128 - 95
2452,129 - 95
2477,129 - 96
2477,129 - 97
2503,129 - 99
2560,129 - 100
2560,129 - 101
2584,129 - 103
2625,131 - 103
2680,131 - 105
2714,134 - 105
2732,134 - 106
2732,134 - 107
2781,134 - 109
2797,134 - 111
2814,135 - 111
2814,136 - 111
2824,136 - 112
2824,136 - 113
2861,136 - 115
2880,136 - 115
