CUMULATIVE_TIME,SCORE
50,2 - 0
77,4 - 0
124,6 - 0
161,6 - 2
217,6 - 4
264,6 - 6
296,6 - 9
329,6 - 11
348,8 - 11
359,8 - 13
396,11 - 13
404,11 - 15
431,11 - 18
438,12 - 18
451,12 - 20
473,12 - 22
489,13 - 22
489,14 - 22
520,14 - 25
539,15 - 25
552,15 - 26
552,15 - 27
557,15 - 29
571,17 - 29
635,17 - 31
695,17 - 32
720,17 - 32
720,17 - 32
756,19 - 32
775,19 - 34
806,19 - 36
840,19 - 38
861,19 - 39
891,19 - 42
997,22 - 42
1043,22 - 44
1056,24 - 44
1070,26 - 44
1084,26 - 46
1126,28 - 46
1163,28 - 48
1186,30 - 48
1192,30 - 50
1230,31 - 50
1245,31 - 52
1294,31 - 55
1354,33 - 55
1354,34 - 55
1366,34 - 57
1366,34 - 58
1436,34 - 61
1440,34 - 61
1440,34 - 61
1488,34 - 63
1532,36 - 63
1545,36 - 64
1545,36 - 65
1567,38 - 65
1586,40 - 65
1586,41 - 65
1611,43 - 65
1624,43 - 67
1645,43 - 69
1683,43 - 72
1712,44 - 72
1712,45 - 72
1777,45 - 73
1777,45 - 74
1835,47 - 74
1850,47 - 77
1870,49 - 77
1892,49 - 79
1924,49 - 82
1963,49 - 84
1989,49 - 85
2003,52 - 85
2034,54 - 85
2049,54 - 88
2060,56 - 88
2076,56 - 90
2086,57 - 90
2086,58 - 90
2108,58 - 92
2125,58 - 93
2125,58 - 94
2132,60 - 94
2155,60 - 96
2160,63 - 96
2160,63 - 96
2160,63 - 96
2181,63 - 97
2181,63 - 98
2191,65 - 98
2207,65 - 101
2241,65 - 102
2241,65 - 103
2281,65 - 104
2281,65 - 105
2312,68 - 105
2323,68 - 108
2346,70 - 108
2359,70 - 109
2389,70 - 111
2430,70 - 113
2443,72 - 113
2472,74 - 113
2488,74 - 114
2554,76 - 114
2573,76 - 116
2600,76 - 117
2600,76 - 118
2687,76 - 120
2700,78 - 120
2718,78 - 122
2740,78 - 124
2798,79 - 124
2813,79 - 126
2829,80 - 126
2829,81 - 126
2852,83 - 126
2878,86 - 126
2880,86 - 126
