CUMULATIVE_TIME,SCORE
18,2 - 0
52,2 - 2
82,4 - 2
110,6 - 2
129,6 - 4
165,9 - 4
182,9 - 6
230,9 - 8
241,11 - 8
285,11 - 10
299,13 - 10
320,16 - 10
342,16 - 12
359,18 - 12
372,18 - 14
383,21 - 14
402,21 - 16
432,21 - 17
456,21 - 19
477,21 - 21
525,21 - 22
574,23 - 22
595,23 - 24
610,26 - 24
618,26 - 26
651,26 - 29
705,26 - 31
720,27 - 31
720,28 - 31
720,28 - 31
720,28 - 31
750,29 - 31
750,30 - 31
773,30 - 33
829,31 - 33
829,32 - 33
854,34 - 33
870,34 - 34
870,34 - 35
920,34 - 37
937,36 - 37
960,36 - 39
978,37 - 39
978,38 - 39
1080,40 - 39
1097,40 - 41
1108,43 - 41
1145,45 - 41
1187,48 - 41
1200,48 - 44
1205,50 - 44
1220,50 - 46
1286,52 - 46
1319,54 - 46
1333,54 - 48
1350,56 - 48
1369,56 - 49
1382,57 - 49
1382,58 - 49
1403,60 - 49
1419,60 - 51
1440,60 - 51
1440,60 - 51
1440,60 - 52
1473,62 - 52
1489,62 - 53
1489,62 - 54
1501,64 - 54
1514,64 - 56
1521,66 - 56
1539,66 - 58
1550,67 - 58
1550,68 - 58
1565,68 - 61
1604,71 - 61
1647,71 - 63
1686,72 - 63
1686,73 - 63
1710,73 - 65
1726,75 - 65
1739,75 - 67
1765,77 - 67
1770,77 - 68
1770,77 - 69
1781,79 - 69
1791,79 - 72
1803,82 - 72
1818,82 - 74
1878,82 - 77
1902,82 - 79
1923,82 - 81
1962,82 - 83
2011,82 - 85
2029,84 - 85
2056,86 - 85
2056,87 - 85
2079,87 - 87
2089,89 - 87
2156,89 - 88
2156,89 - 89
2160,89 - 89
2160,89 - 89
2184,91 - 89
2234,91 - 91
2248,92 - 91
2248,93 - 91
2301,93 - 92
2301,93 - 93
2341,94 - 93
2359,94 - 96
2389,94 - 98
2409,96 - 98
2451,96 - 100
2497,96 - 102
2513,97 - 102
2579,97 - 105
2590,99 - 105
2624,99 - 107
2638,101 - 107
2659,102 - 107
2659,103 - 107
2690,106 - 107
2741,106 - 109
2756,107 - 109
2756,108 - 109
2786,110 - 109
2798,110 - 110
2798,110 - 111
2837,111 - 111
2880,111 - 111
3300,111 - 111
3325,113 - 111
3343,113 - 112
3358,115 - 112
3358,116 - 112
3393,119 - 112
3420,120 - 112
3428,120 - 113
3428,120 - 114
3443,123 - 114
3469,125 - 114
3479,125 - 116
3479,125 - 117
3513,125 - 119
3579,126 - 119
3584,126 - 122
3585,127 - 122
3585,128 - 122
3600,128 - 122
