CUMULATIVE_TIME,SCORE
15,0 - 2
33,3 - 2
68,5 - 2
82,8 - 2
131,10 - 2
204,10 - 3
204,10 - 4
226,12 - 4
291,12 - 5
291,12 - 6
352,14 - 6
480,16 - 6
522,16 - 8
559,16 - 9
559,16 - 10
580,18 - 10
603,18 - 13
628,18 - 14
628,18 - 15
690,18 - 18
712,20 - 18
720,20 - 18
720,20 - 18
740,22 - 18
811,24 - 18
840,24 - 20
860,24 - 22
911,26 - 22
948,28 - 22
1027,28 - 24
1046,29 - 24
1076,32 - 24
1114,34 - 24
1168,34 - 26
1199,34 - 28
1221,36 - 28
1246,37 - 28
1278,39 - 28
1288,39 - 30
1304,40 - 30
1325,40 - 32
1339,42 - 32
1351,42 - 34
1371,42 - 35
1371,42 - 36
1392,42 - 39
1410,42 - 40
1410,42 - 41
1440,42 - 41
1440,42 - 41
1466,44 - 41
1482,46 - 41
1505,46 - 43
1531,49 - 43
1545,49 - 45
1545,49 - 46
1596,51 - 46
1619,51 - 49
1632,53 - 49
1640,53 - 52
1650,55 - 52
1675,55 - 53
1675,55 - 54
1722,55 - 56
1771,58 - 56
1808,59 - 56
1824,59 - 59
1843,59 - 61
1859,61 - 61
1892,61 - 63
1892,61 - 64
1927,61 - 67
1941,62 - 67
1988,62 - 69
1997,63 - 69
2021,65 - 69
2049,66 - 69
2078,66 - 70
2078,66 - 71
2094,68 - 71
2122,70 - 71
2160,70 - 73
2160,70 - 73
2160,70 - 73
2217,72 - 73
2239,72 - 76
2283,72 - 78
2323,74 - 78
2346,74 - 79
2346,74 - 80
2374,74 - 82
2401,74 - 84
2433,74 - 86
2472,74 - 88
2509,75 - 88
2509,76 - 88
2523,76 - 90
2561,77 - 90
2587,77 - 91
2621,77 - 93
2664,77 - 94
2704,77 - 97
2721,80 - 97
2758,82 - 97
2810,82 - 98
2830,84 - 98
2850,85 - 98
2850,86 - 98
2867,86 - 100
2880,86 - 100
