CUMULATIVE_TIME,SCORE
129,2 - 0
176,5 - 0
215,8 - 0
248,8 - 2
264,11 - 2
280,11 - 4
338,11 - 7
368,14 - 7
395,16 - 7
416,16 - 10
455,17 - 10
471,19 - 10
481,19 - 12
499,19 - 14
560,19 - 16
596,19 - 18
622,21 - 18
635,23 - 18
651,23 - 20
672,25 - 20
690,28 - 20
711,28 - 23
720,28 - 23
720,28 - 23
732,30 - 23
778,32 - 23
787,32 - 24
838,35 - 24
865,36 - 24
879,36 - 26
904,38 - 26
920,38 - 28
945,40 - 28
973,40 - 29
973,40 - 30
1016,40 - 32
1051,42 - 32
1061,42 - 35
1086,42 - 38
1104,43 - 38
1143,45 - 38
1161,45 - 41
1190,47 - 41
1210,47 - 42
1218,47 - 43
1261,47 - 44
1291,47 - 47
1351,47 - 49
1362,49 - 49
1372,49 - 52
1383,50 - 52
1383,51 - 52
1440,51 - 52
1440,51 - 52
1464,53 - 52
1549,53 - 55
1608,53 - 57
1752,53 - 59
1803,55 - 59
1811,55 - 61
1830,56 - 61
1830,57 - 61
1863,59 - 61
1873,59 - 63
1906,59 - 65
1974,59 - 67
1997,61 - 67
2015,61 - 69
2035,61 - 72
2049,64 - 72
2074,64 - 74
2112,67 - 74
2120,67 - 75
2120,67 - 76
2127,69 - 76
2127,70 - 76
2146,70 - 77
2146,70 - 78
2160,70 - 78
2160,70 - 78
2186,72 - 78
2209,72 - 80
2283,72 - 82
2346,74 - 82
2362,75 - 82
2375,75 - 84
2434,77 - 84
2476,77 - 86
2508,77 - 88
2508,77 - 89
2540,78 - 89
2540,79 - 89
2588,79 - 91
2634,79 - 93
2634,79 - 94
2668,79 - 97
2688,79 - 98
2688,79 - 99
2704,81 - 99
2738,84 - 99
2783,84 - 102
2796,86 - 102
2822,86 - 104
2863,86 - 106
2867,87 - 106
2880,87 - 106
