CUMULATIVE_TIME,SCORE
30,0 - 2
61,0 - 4
79,2 - 4
129,4 - 4
197,4 - 6
222,4 - 8
245,4 - 10
263,6 - 10
285,6 - 12
305,9 - 12
332,9 - 14
348,11 - 14
377,14 - 14
446,14 - 16
511,15 - 16
511,16 - 16
553,18 - 16
573,18 - 18
593,18 - 20
608,20 - 20
634,20 - 22
676,20 - 24
720,20 - 24
720,20 - 24
740,20 - 26
764,20 - 27
764,20 - 28
785,22 - 28
785,23 - 28
816,26 - 28
830,28 - 28
850,28 - 30
862,30 - 30
983,30 - 32
983,30 - 33
1037,33 - 33
1061,34 - 33
1061,35 - 33
1089,37 - 33
1112,37 - 36
1129,39 - 36
1180,41 - 36
1228,41 - 38
1260,41 - 41
1391,44 - 41
1415,44 - 42
1415,44 - 43
1431,46 - 43
1438,46 - 44
1440,46 - 44
1440,46 - 44
1490,46 - 46
1564,47 - 46
1564,48 - 46
1625,51 - 46
1657,53 - 46
1702,55 - 46
1720,55 - 49
1733,57 - 49
1748,57 - 52
1801,57 - 53
1818,60 - 53
1910,62 - 53
1964,62 - 55
2002,64 - 55
2052,64 - 57
2080,64 - 59
2084,65 - 59
2109,65 - 61
2126,67 - 61
2160,67 - 61
2160,67 - 61
2175,69 - 61
2207,71 - 61
2222,71 - 63
2241,73 - 63
2268,75 - 63
2296,77 - 63
2318,78 - 63
2318,79 - 63
2335,81 - 63
2350,81 - 66
2389,81 - 68
2469,81 - 70
2499,81 - 72
2574,81 - 73
2574,81 - 74
2574,81 - 75
2624,83 - 75
2731,85 - 75
2783,85 - 76
2813,85 - 79
2855,86 - 79
2855,87 - 79
2860,87 - 82
2861,88 - 82
2871,88 - 84
2872,89 - 84
2880,89 - 84
