CUMULATIVE_TIME,SCORE
62,0 - 2
74,2 - 2
74,3 - 2
144,3 - 5
161,5 - 5
174,7 - 5
191,7 - 7
312,8 - 7
312,9 - 7
341,9 - 10
349,9 - 12
381,9 - 14
407,11 - 14
427,11 - 17
454,11 - 19
491,11 - 21
519,13 - 21
562,15 - 21
581,15 - 23
643,15 - 25
656,17 - 25
666,20 - 25
687,20 - 27
717,20 - 30
720,20 - 30
720,20 - 30
738,20 - 32
788,20 - 34
813,22 - 34
820,22 - 36
829,25 - 36
842,25 - 38
876,27 - 38
980,29 - 38
1005,29 - 41
1062,29 - 43
1118,29 - 46
1143,31 - 46
1158,31 - 48
1177,31 - 50
1197,31 - 51
1197,31 - 52
1218,33 - 52
1230,33 - 55
1259,35 - 55
1269,35 - 58
1290,35 - 60
1306,37 - 60
1367,37 - 62
1394,40 - 62
1418,40 - 65
1437,42 - 65
1440,42 - 65
1440,42 - 65
1500,44 - 65
1518,44 - 67
1532,44 - 69
1554,46 - 69
1572,46 - 72
1604,46 - 75
1618,48 - 75
1637,49 - 75
1637,50 - 75
1657,50 - 76
1657,50 - 77
1680,52 - 77
1697,52 - 78
1697,52 - 79
1729,53 - 79
1729,54 - 79
1729,55 - 79
1744,55 - 82
1810,57 - 82
1827,57 - 84
1840,59 - 84
1842,60 - 84
1892,62 - 84
1903,62 - 86
1932,65 - 86
1959,65 - 87
1959,65 - 88
1969,66 - 88
1983,66 - 89
1983,66 - 90
2003,68 - 90
2028,71 - 90
2038,71 - 91
2038,71 - 92
2056,71 - 94
2087,71 - 95
2087,71 - 96
2087,71 - 97
2094,72 - 97
2094,73 - 97
2122,73 - 99
2126,75 - 99
2144,75 - 102
2160,75 - 102
2160,75 - 102
2211,78 - 102
2252,78 - 103
2252,78 - 104
2271,80 - 104
2316,80 - 106
2326,81 - 106
2326,82 - 106
2341,83 - 106
2341,84 - 106
2368,86 - 106
2384,86 - 108
2404,89 - 108
2498,91 - 108
2579,93 - 108
2617,94 - 108
2643,95 - 108
2659,95 - 111
2669,96 - 111
2680,96 - 113
2680,96 - 114
2695,98 - 114
2707,98 - 117
2737,98 - 119
2818,99 - 119
2818,100 - 119
2833,102 - 119
2844,102 - 120
2844,102 - 121
2858,104 - 121
2880,104 - 121
