CUMULATIVE_TIME,SCORE
34,2 - 0
45,2 - 2
87,2 - 4
125,4 - 4
158,4 - 6
174,6 - 6
215,6 - 8
248,6 - 9
248,6 - 10
262,7 - 10
262,8 - 10
274,8 - 12
292,9 - 12
292,10 - 12
302,10 - 15
317,12 - 15
338,14 - 15
429,17 - 15
457,19 - 15
487,20 - 15
500,20 - 18
515,22 - 18
538,24 - 18
545,24 - 21
567,27 - 21
584,27 - 24
604,30 - 24
636,30 - 26
678,32 - 26
688,32 - 27
688,32 - 28
711,32 - 30
720,32 - 30
720,32 - 30
736,32 - 32
798,33 - 32
822,33 - 33
851,33 - 35
868,35 - 35
877,35 - 36
877,35 - 37
892,37 - 37
907,37 - 39
931,37 - 40
931,37 - 41
1008,39 - 41
1096,41 - 41
1125,43 - 41
1147,43 - 43
1165,45 - 43
1176,45 - 46
1194,48 - 46
1209,48 - 48
1243,48 - 51
1281,50 - 51
1299,50 - 53
1327,50 - 56
1338,52 - 56
1356,53 - 56
1356,54 - 56
1369,54 - 58
1415,54 - 60
1440,54 - 60
1440,54 - 60
1459,55 - 60
1472,55 - 62
1521,57 - 62
1549,59 - 62
1581,59 - 64
1650,61 - 64
1684,64 - 64
1761,66 - 64
1768,66 - 65
1768,66 - 66
1800,66 - 69
1828,66 - 71
1865,66 - 73
1887,66 - 75
1912,67 - 75
1912,68 - 75
1944,70 - 75
1957,70 - 77
1973,72 - 77
1994,72 - 80
2011,74 - 80
2119,74 - 82
2135,75 - 82
2135,76 - 82
2158,76 - 84
2160,76 - 84
2160,76 - 84
2219,78 - 84
2239,78 - 86
2239,78 - 87
2266,78 - 89
2344,80 - 89
2395,80 - 91
2431,83 - 91
2454,83 - 93
2476,86 - 93
2527,88 - 93
2539,88 - 95
2562,89 - 95
2621,89 - 97
2637,90 - 97
2662,90 - 98
2662,90 - 99
2688,90 - 100
2688,90 - 101
2701,91 - 101
2701,92 - 101
2738,92 - 103
2767,92 - 105
2780,94 - 105
2799,94 - 108
2827,94 - 110
2864,94 - 112
2880,94 - 112
