CUMULATIVE_TIME,SCORE
22,0 - 3
176,2 - 3
176,3 - 3
205,5 - 3
221,7 - 3
244,10 - 3
254,10 - 5
285,10 - 7
341,10 - 10
363,10 - 13
387,10 - 15
424,10 - 17
442,12 - 17
465,14 - 17
513,14 - 18
513,14 - 19
513,14 - 20
549,15 - 20
549,16 - 20
577,18 - 20
606,18 - 21
606,18 - 22
617,20 - 22
647,20 - 24
659,22 - 24
678,22 - 26
713,22 - 27
720,24 - 27
720,24 - 27
720,24 - 27
843,26 - 27
897,29 - 27
911,29 - 30
936,30 - 30
936,31 - 30
955,31 - 32
971,33 - 32
987,33 - 34
1020,33 - 36
1049,33 - 38
1069,35 - 38
1084,35 - 40
1103,37 - 40
1135,39 - 40
1163,41 - 40
1182,43 - 40
1242,44 - 40
1257,44 - 42
1313,44 - 44
1328,46 - 44
1339,46 - 47
1359,46 - 50
1388,46 - 52
1409,49 - 52
1440,49 - 52
1440,49 - 52
1489,49 - 53
1489,49 - 54
1542,49 - 57
1623,49 - 58
1623,49 - 59
1705,50 - 59
1724,50 - 61
1787,51 - 61
1826,51 - 63
1896,51 - 66
1944,51 - 68
1971,51 - 71
2012,51 - 74
2037,52 - 74
2037,53 - 74
2054,53 - 77
2071,54 - 77
2098,56 - 77
2115,56 - 79
2136,57 - 79
2157,57 - 80
2157,57 - 81
2160,57 - 81
2160,57 - 81
2249,57 - 83
2278,57 - 85
2301,57 - 86
2301,57 - 87
2324,59 - 87
2347,59 - 90
2387,60 - 90
2387,61 - 90
2427,63 - 90
2450,63 - 93
2462,64 - 93
2481,66 - 93
2509,66 - 95
2543,67 - 95
2569,68 - 95
2569,69 - 95
2580,69 - 97
2628,71 - 97
2689,73 - 97
2689,74 - 97
2719,76 - 97
2736,76 - 98
2736,76 - 99
2777,76 - 101
2802,76 - 103
2838,76 - 105
2863,76 - 107
2880,76 - 107
