CUMULATIVE_TIME,SCORE
17,0 - 2
64,2 - 2
88,4 - 2
138,4 - 4
207,4 - 7
220,4 - 9
234,6 - 9
307,8 - 9
319,8 - 11
332,10 - 11
350,10 - 13
388,10 - 16
422,10 - 19
434,11 - 19
434,12 - 19
453,12 - 22
472,15 - 22
522,17 - 22
547,17 - 25
688,18 - 25
688,19 - 25
720,19 - 25
720,19 - 25
734,22 - 25
747,22 - 26
747,22 - 27
791,24 - 27
817,27 - 27
897,27 - 29
911,29 - 29
931,29 - 32
944,31 - 32
955,31 - 34
992,31 - 35
992,31 - 36
1028,34 - 36
1047,34 - 38
1100,34 - 40
1147,36 - 40
1171,36 - 43
1186,38 - 43
1198,38 - 45
1218,38 - 46
1266,38 - 49
1283,38 - 51
1298,40 - 51
1324,42 - 51
1333,42 - 53
1349,44 - 53
1371,45 - 53
1371,46 - 53
1385,47 - 53
1385,48 - 53
1411,50 - 53
1411,51 - 53
1439,53 - 53
1440,53 - 53
1440,53 - 53
1494,55 - 53
1537,57 - 53
1537,58 - 53
1642,60 - 53
1654,60 - 54
1669,60 - 55
1669,60 - 56
1709,60 - 58
1765,60 - 59
1765,60 - 60
1776,62 - 60
1776,63 - 60
1845,63 - 62
1868,65 - 62
1902,66 - 62
1947,66 - 65
1947,66 - 66
1955,67 - 66
1971,67 - 68
1989,67 - 70
2056,68 - 70
2056,69 - 70
2097,69 - 72
2157,71 - 72
2160,71 - 72
2160,71 - 72
2183,71 - 75
2199,73 - 75
2212,73 - 76
2262,73 - 79
2282,75 - 79
2292,75 - 82
2327,75 - 85
2385,75 - 87
2424,75 - 89
2435,78 - 89
2474,79 - 89
2486,79 - 91
2558,80 - 91
2558,81 - 91
2570,81 - 93
2581,83 - 93
2657,83 - 94
2657,83 - 95
2685,85 - 95
2727,87 - 95
2741,87 - 97
2764,87 - 100
2781,89 - 100
2804,90 - 100
2804,91 - 100
2850,91 - 102
2866,93 - 102
2880,93 - 102
