CUMULATIVE_TIME,SCORE
57,0 - 3
114,0 - 6
165,0 - 8
184,0 - 10
233,0 - 12
247,2 - 12
283,4 - 12
301,4 - 14
369,6 - 14
378,6 - 16
396,6 - 17
421,6 - 19
438,7 - 19
438,8 - 19
542,8 - 21
579,8 - 24
608,10 - 24
656,10 - 27
668,11 - 27
676,11 - 28
698,13 - 28
720,13 - 28
720,13 - 28
753,13 - 30
784,15 - 30
860,15 - 32
894,18 - 32
915,18 - 34
925,20 - 34
965,23 - 34
985,23 - 36
990,24 - 36
1001,24 - 38
1015,26 - 38
1034,26 - 40
1094,26 - 42
1116,27 - 42
1116,28 - 42
1128,28 - 44
1165,28 - 46
1218,28 - 48
1283,28 - 51
1314,28 - 53
1367,30 - 53
1401,32 - 53
1414,32 - 54
1440,32 - 54
1440,32 - 54
1456,34 - 54
1470,34 - 56
1524,34 - 58
1541,36 - 58
1567,39 - 58
1576,39 - 59
1600,39 - 61
1612,40 - 61
1612,41 - 61
1642,43 - 61
1652,43 - 63
1652,43 - 64
1677,43 - 66
1710,44 - 66
1721,44 - 68
1759,46 - 68
1769,46 - 70
1794,48 - 70
1839,48 - 72
1872,48 - 74
1888,50 - 74
1908,50 - 76
1970,51 - 76
1980,51 - 78
1998,53 - 78
2013,53 - 80
2043,53 - 81
2064,55 - 81
2078,55 - 83
2112,55 - 84
2112,55 - 85
2124,57 - 85
2160,57 - 85
2160,57 - 85
2192,59 - 85
2214,59 - 88
2240,61 - 88
2329,61 - 90
2360,64 - 90
2397,66 - 90
2397,67 - 90
2406,67 - 91
2406,67 - 92
2467,67 - 94
2519,70 - 94
2555,72 - 94
2571,72 - 95
2571,72 - 96
2584,74 - 96
2602,74 - 98
2613,76 - 98
2613,77 - 98
2640,79 - 98
2691,81 - 98
2755,83 - 98
2792,86 - 98
2801,86 - 99
2829,86 - 101
2869,88 - 101
2880,88 - 101
