CUMULATIVE_TIME,SCORE
47,0 - 2
71,2 - 2
77,2 - 5
100,2 - 8
111,3 - 8
133,5 - 8
180,5 - 10
223,5 - 12
244,7 - 12
255,7 - 14
279,9 - 14
296,9 - 16
313,11 - 16
324,11 - 19
351,13 - 19
382,15 - 19
398,15 - 21
447,17 - 21
475,18 - 21
475,19 - 21
500,19 - 23
531,21 - 23
550,21 - 25
573,23 - 25
588,23 - 27
670,25 - 27
691,27 - 27
717,27 - 30
720,27 - 30
720,27 - 30
769,29 - 30
792,29 - 32
866,31 - 32
877,31 - 34
906,33 - 34
927,34 - 34
927,35 - 34
949,37 - 34
983,40 - 34
1008,42 - 34
1021,42 - 35
1021,42 - 36
1042,45 - 36
1074,47 - 36
1113,49 - 36
1172,49 - 39
1217,49 - 42
1250,52 - 42
1266,52 - 44
1290,52 - 47
1338,52 - 49
1338,52 - 50
1355,54 - 50
1368,54 - 52
1368,54 - 53
1407,54 - 55
1435,54 - 57
1440,54 - 57
1440,54 - 57
1474,54 - 58
1489,56 - 58
1497,56 - 61
1525,56 - 63
1550,56 - 65
1592,56 - 67
1608,58 - 67
1648,58 - 69
1690,60 - 69
1722,63 - 69
1749,65 - 69
1771,67 - 69
1784,67 - 71
1810,70 - 71
1850,70 - 73
1874,72 - 73
1890,72 - 75
1915,74 - 75
1958,74 - 78
1980,76 - 78
2014,77 - 78
2034,77 - 80
2058,79 - 80
2092,81 - 80
2118,81 - 82
2133,84 - 82
2158,84 - 84
2160,84 - 84
2160,84 - 84
2236,86 - 84
2254,86 - 86
2292,86 - 88
2427,86 - 90
2446,88 - 90
2463,88 - 92
2469,91 - 92
2522,93 - 92
2533,93 - 95
2563,93 - 98
2584,95 - 98
2600,95 - 100
2626,97 - 100
2641,97 - 102
2681,99 - 102
2703,99 - 104
2721,101 - 104
2739,103 - 104
2757,103 - 105
2757,103 - 106
2757,103 - 107
2779,103 - 109
2809,103 - 111
2811,105 - 111
2826,105 - 113
2847,105 - 116
2880,105 - 116
