CUMULATIVE_TIME,SCORE
21,0 - 2
59,2 - 2
84,5 - 2
116,7 - 2
129,8 - 2
141,9 - 2
190,9 - 4
205,10 - 4
214,10 - 6
214,10 - 7
245,10 - 10
286,10 - 12
315,10 - 13
344,10 - 14
344,10 - 15
344,10 - 16
356,12 - 16
369,12 - 17
369,12 - 18
383,14 - 18
392,14 - 20
403,16 - 20
438,18 - 20
493,18 - 22
501,20 - 22
527,20 - 24
538,22 - 24
584,25 - 24
607,25 - 26
617,27 - 26
629,27 - 27
629,27 - 28
646,29 - 28
666,29 - 29
681,31 - 29
701,31 - 30
701,31 - 31
720,31 - 31
720,31 - 31
736,33 - 31
762,35 - 31
763,35 - 32
781,35 - 34
794,36 - 34
866,38 - 34
892,38 - 36
925,38 - 38
942,40 - 38
962,40 - 39
962,40 - 40
976,42 - 40
995,42 - 42
1008,45 - 42
1050,45 - 44
1070,46 - 44
1090,48 - 44
1109,48 - 46
1145,48 - 48
1163,48 - 50
1176,51 - 50
1217,51 - 52
1236,52 - 52
1236,53 - 52
1251,54 - 52
1251,55 - 52
1278,55 - 55
1303,55 - 57
1318,55 - 59
1334,56 - 59
1334,57 - 59
1361,60 - 59
1379,62 - 59
1420,64 - 59
1440,64 - 59
1440,64 - 59
1462,65 - 59
1487,66 - 59
1487,67 - 59
1517,69 - 59
1528,69 - 61
1542,70 - 61
1584,70 - 63
1617,70 - 66
1656,72 - 66
1656,73 - 66
1685,73 - 67
1685,73 - 68
1705,76 - 68
1747,78 - 68
1779,80 - 68
1791,80 - 69
1791,80 - 70
1797,81 - 70
1812,81 - 71
1855,83 - 71
1880,83 - 73
1904,85 - 73
1921,85 - 74
1921,85 - 75
1936,87 - 75
1946,87 - 77
1960,90 - 77
1976,90 - 80
1988,92 - 80
2004,93 - 80
2004,94 - 80
2042,96 - 80
2072,98 - 80
2085,100 - 80
2127,102 - 80
2160,102 - 80
2160,102 - 80
2205,102 - 82
2243,102 - 84
2264,103 - 84
2278,103 - 85
2306,105 - 85
2320,105 - 86
2348,108 - 86
2412,108 - 89
2423,109 - 89
2423,110 - 89
2435,110 - 92
2455,110 - 94
2493,112 - 94
2529,114 - 94
2547,117 - 94
2616,119 - 94
2651,121 - 94
2666,121 - 96
2682,123 - 96
2710,125 - 96
2731,127 - 96
2745,127 - 98
2776,127 - 100
2803,127 - 103
2820,127 - 105
2820,127 - 106
2839,129 - 106
2856,131 - 106
2880,131 - 106
