CUMULATIVE_TIME,SCORE
25,0 - 2
97,0 - 4
107,1 - 4
147,1 - 7
157,3 - 7
173,3 - 9
202,3 - 11
236,3 - 13
269,6 - 13
282,6 - 15
297,7 - 15
297,8 - 15
327,10 - 15
339,10 - 17
351,13 - 17
367,15 - 17
367,16 - 17
379,16 - 19
421,16 - 21
450,16 - 23
471,18 - 23
471,19 - 23
518,19 - 26
536,19 - 27
536,19 - 28
593,20 - 28
593,21 - 28
603,22 - 28
623,22 - 30
646,24 - 30
669,24 - 32
678,26 - 32
698,26 - 33
698,26 - 34
720,26 - 34
720,26 - 34
760,28 - 34
788,28 - 36
797,30 - 36
797,31 - 36
821,31 - 37
821,31 - 38
865,31 - 40
881,33 - 40
923,35 - 40
934,35 - 42
964,35 - 44
976,37 - 44
1041,39 - 44
1084,39 - 46
1109,42 - 46
1145,42 - 48
1165,45 - 48
1176,45 - 49
1176,45 - 50
1190,46 - 50
1190,47 - 50
1214,49 - 50
1258,49 - 52
1281,49 - 54
1281,49 - 55
1295,50 - 55
1295,51 - 55
1335,52 - 55
1372,54 - 55
1381,54 - 58
1407,54 - 59
1438,54 - 62
1440,54 - 62
1440,54 - 62
1502,56 - 62
1518,56 - 64
1548,56 - 65
1548,56 - 66
1574,56 - 68
1668,58 - 68
1686,58 - 70
1702,59 - 70
1702,60 - 70
1739,62 - 70
1778,64 - 70
1802,64 - 72
1817,66 - 72
1834,66 - 74
1893,66 - 75
1893,66 - 76
1914,69 - 76
1925,69 - 78
1953,72 - 78
1982,74 - 78
1998,74 - 80
2014,76 - 80
2030,76 - 81
2030,76 - 82
2071,79 - 82
2106,81 - 82
2131,83 - 82
2160,83 - 82
2160,83 - 82
2209,84 - 82
2229,84 - 83
2229,84 - 84
2258,84 - 86
2270,86 - 86
2325,88 - 86
2343,88 - 87
2354,90 - 87
2394,92 - 87
2408,92 - 88
2408,92 - 89
2414,94 - 89
2439,96 - 89
2453,96 - 92
2479,96 - 94
2561,99 - 94
2584,99 - 95
2584,99 - 96
2629,99 - 99
2659,99 - 101
2683,99 - 103
2701,101 - 103
2724,101 - 106
2760,101 - 108
2788,101 - 109
2816,101 - 111
2823,103 - 111
2845,103 - 114
2880,103 - 114
