CUMULATIVE_TIME,SCORE
20,0 - 2
111,0 - 4
120,2 - 4
142,2 - 6
171,2 - 8
179,4 - 8
210,6 - 8
239,8 - 8
301,8 - 10
324,8 - 13
383,8 - 15
429,8 - 17
444,10 - 17
467,10 - 19
467,10 - 20
504,11 - 20
522,13 - 20
555,13 - 21
598,15 - 21
661,16 - 21
661,17 - 21
673,17 - 22
673,17 - 23
714,19 - 23
720,19 - 23
720,19 - 23
759,21 - 23
813,21 - 26
828,23 - 26
847,23 - 28
857,25 - 28
874,25 - 31
917,25 - 33
959,25 - 35
975,26 - 35
980,27 - 35
1002,27 - 37
1021,27 - 38
1021,27 - 39
1072,29 - 39
1090,29 - 42
1109,31 - 42
1148,33 - 42
1168,33 - 43
1196,33 - 45
1212,34 - 45
1212,35 - 45
1247,35 - 46
1258,38 - 46
1290,41 - 46
1303,41 - 47
1326,41 - 49
1347,43 - 49
1367,43 - 51
1409,43 - 54
1427,45 - 54
1431,45 - 56
1440,45 - 56
1440,45 - 56
1477,45 - 57
1501,45 - 59
1548,47 - 59
1583,47 - 61
1606,47 - 63
1669,47 - 65
1678,49 - 65
1697,49 - 67
1721,50 - 67
1736,53 - 67
1775,55 - 67
1790,55 - 68
1813,55 - 70
1836,58 - 70
1886,58 - 72
1903,58 - 74
1938,59 - 74
1938,60 - 74
1960,60 - 77
2066,61 - 77
2066,62 - 77
2090,63 - 77
2104,63 - 79
2110,66 - 79
2149,66 - 81
2159,68 - 81
2160,68 - 81
2160,68 - 81
2182,68 - 83
2197,70 - 83
2251,72 - 83
2269,72 - 86
2289,74 - 86
2300,74 - 88
2310,75 - 88
2346,77 - 88
2359,77 - 90
2398,77 - 93
2446,79 - 93
2465,79 - 95
2490,81 - 95
2509,81 - 96
2509,81 - 97
2516,82 - 97
2516,83 - 97
2539,83 - 99
2619,84 - 99
2619,85 - 99
2633,85 - 101
2665,88 - 101
2682,88 - 103
2710,91 - 103
2741,93 - 103
2757,93 - 106
2770,95 - 106
2826,97 - 106
2855,100 - 106
2860,100 - 107
2860,100 - 108
2873,100 - 109
2873,100 - 110
2880,100 - 110
