CUMULATIVE_TIME,SCORE
67,0 - 1
75,0 - 4
128,2 - 4
151,4 - 4
180,6 - 4
202,6 - 6
261,9 - 6
300,11 - 6
311,11 - 8
331,13 - 8
344,15 - 8
361,15 - 10
380,16 - 10
380,17 - 10
394,17 - 12
452,17 - 14
474,17 - 16
494,19 - 16
494,20 - 16
508,20 - 18
534,20 - 19
534,20 - 20
569,20 - 22
569,20 - 23
590,22 - 23
625,24 - 23
645,24 - 24
691,25 - 24
720,25 - 24
720,25 - 24
757,26 - 24
757,27 - 24
769,27 - 26
787,29 - 26
826,29 - 28
851,29 - 30
872,32 - 30
892,32 - 32
908,34 - 32
929,34 - 34
954,34 - 36
979,36 - 36
992,36 - 38
1015,37 - 38
1015,38 - 38
1062,40 - 38
1140,42 - 38
1151,42 - 40
1179,42 - 42
1222,42 - 44
1255,42 - 47
1317,42 - 49
1336,44 - 49
1348,44 - 51
1377,44 - 53
1408,44 - 56
1438,46 - 56
1440,46 - 56
1440,46 - 56
1514,48 - 56
1531,48 - 58
1585,51 - 58
1608,53 - 58
1643,53 - 60
1643,53 - 61
1661,53 - 63
1700,53 - 64
1700,53 - 65
1779,55 - 65
1804,57 - 65
1826,59 - 65
1856,62 - 65
1910,64 - 65
1959,64 - 67
1981,66 - 67
1993,66 - 69
2019,68 - 69
2043,70 - 69
2043,71 - 69
2085,71 - 71
2103,73 - 71
2114,73 - 72
2114,73 - 73
2137,74 - 73
2137,75 - 73
2160,75 - 73
2160,75 - 73
2171,75 - 75
2249,77 - 75
2281,79 - 75
2322,79 - 77
2335,82 - 77
2418,84 - 77
2436,84 - 78
2508,84 - 80
2526,85 - 80
2526,86 - 80
2544,86 - 83
2568,88 - 83
2603,90 - 83
2613,90 - 84
2629,93 - 84
2640,93 - 87
2704,93 - 90
2742,93 - 93
2770,95 - 93
2782,95 - 94
2782,95 - 95
2842,97 - 95
2876,97 - 98
2880,97 - 98
