CUMULATIVE_TIME,SCORE
76,0 - 3
130,0 - 5
141,3 - 5
159,3 - 7
180,5 - 7
197,5 - 9
245,7 - 9
257,7 - 10
271,9 - 10
292,9 - 12
315,12 - 12
328,12 - 14
348,14 - 14
369,16 - 14
384,16 - 16
448,16 - 18
468,18 - 18
477,18 - 20
494,20 - 20
501,20 - 22
523,22 - 22
533,22 - 24
616,22 - 26
641,22 - 28
714,23 - 28
720,23 - 28
720,23 - 28
750,23 - 30
773,24 - 30
773,25 - 30
810,26 - 30
810,27 - 30
843,27 - 32
883,27 - 34
903,28 - 34
903,29 - 34
921,29 - 36
953,31 - 36
1002,31 - 38
1002,31 - 39
1011,34 - 39
1030,34 - 41
1051,34 - 44
1108,34 - 46
1118,35 - 46
1147,35 - 49
1168,37 - 49
1176,37 - 51
1189,39 - 51
1212,39 - 53
1248,39 - 55
1278,39 - 58
1313,39 - 61
1357,39 - 64
1381,41 - 64
1408,43 - 64
1426,43 - 67
1439,46 - 67
1440,46 - 67
1440,46 - 67
1475,47 - 67
1493,47 - 69
1544,47 - 72
1583,47 - 73
1583,47 - 74
1596,48 - 74
1607,48 - 76
1621,50 - 76
1667,52 - 76
1694,52 - 77
1694,52 - 78
1754,55 - 78
1784,55 - 80
1784,55 - 81
1816,55 - 84
1846,56 - 84
1861,56 - 86
1877,58 - 86
1877,59 - 86
1910,61 - 86
1978,61 - 87
1978,61 - 88
1989,63 - 88
2001,64 - 88
2036,65 - 88
2064,67 - 88
2076,67 - 91
2115,67 - 93
2156,68 - 93
2160,68 - 96
2160,68 - 96
2160,68 - 96
2205,68 - 98
2245,68 - 100
2245,68 - 101
2256,71 - 101
2314,71 - 102
2362,71 - 104
2483,74 - 104
2503,74 - 106
2566,74 - 108
2614,76 - 108
2629,78 - 108
2690,80 - 108
2690,81 - 108
2710,81 - 110
2752,83 - 110
2794,85 - 110
2814,85 - 112
2858,87 - 112
2880,87 - 112
