CUMULATIVE_TIME,SCORE
48,3 - 0
77,5 - 0
95,5 - 3
121,7 - 3
134,7 - 5
149,9 - 5
169,11 - 5
193,11 - 7
209,13 - 7
241,16 - 7
259,16 - 8
259,16 - 9
286,16 - 12
321,19 - 12
343,19 - 14
383,19 - 17
434,21 - 17
448,21 - 19
467,21 - 21
467,21 - 22
478,22 - 22
542,22 - 24
542,22 - 25
570,22 - 27
570,22 - 28
604,22 - 31
633,24 - 31
647,24 - 33
660,26 - 33
681,26 - 36
691,28 - 36
720,30 - 36
720,30 - 36
720,30 - 36
747,32 - 36
770,32 - 38
832,34 - 38
885,34 - 40
917,34 - 41
945,34 - 43
961,36 - 43
987,36 - 44
987,36 - 45
1026,36 - 48
1048,36 - 51
1059,37 - 51
1059,38 - 51
1074,38 - 52
1083,38 - 54
1107,41 - 54
1141,44 - 54
1185,46 - 54
1214,46 - 56
1224,47 - 56
1251,49 - 56
1266,49 - 58
1280,52 - 58
1321,52 - 59
1321,52 - 60
1336,54 - 60
1357,57 - 60
1378,57 - 62
1395,59 - 62
1431,60 - 62
1431,61 - 62
1440,61 - 62
1440,61 - 62
1485,63 - 62
1577,63 - 65
1591,65 - 65
1613,65 - 67
1649,67 - 67
1679,69 - 67
1701,69 - 69
1710,72 - 69
1736,72 - 71
1753,75 - 71
1827,75 - 74
1848,77 - 74
1888,77 - 77
1904,79 - 77
1930,79 - 78
1953,79 - 79
1953,79 - 80
1962,81 - 80
1988,83 - 80
2021,86 - 80
2059,86 - 81
2059,86 - 82
2081,88 - 82
2102,89 - 82
2119,89 - 84
2126,91 - 84
2159,91 - 86
2160,91 - 86
2160,91 - 86
2179,91 - 88
2203,93 - 88
2224,93 - 90
2329,93 - 92
2435,93 - 93
2435,93 - 94
2435,93 - 95
2475,94 - 95
2475,95 - 95
2569,96 - 95
2610,99 - 95
2631,100 - 95
2631,101 - 95
2671,104 - 95
2710,107 - 95
2725,107 - 96
2741,107 - 97
2786,109 - 97
2807,111 - 97
2807,112 - 97
2835,113 - 97
2835,114 - 97
2880,114 - 97
