CUMULATIVE_TIME,SCORE
38,2 - 0
55,2 - 2
86,2 - 4
113,2 - 6
129,5 - 6
146,5 - 7
146,5 - 8
174,5 - 10
184,8 - 10
284,10 - 10
312,12 - 10
352,13 - 10
352,14 - 10
441,17 - 10
474,20 - 10
489,20 - 12
512,23 - 12
535,23 - 14
535,23 - 15
573,23 - 17
593,25 - 17
593,26 - 17
632,28 - 17
664,29 - 17
664,30 - 17
696,32 - 17
719,32 - 19
720,32 - 19
720,32 - 19
742,33 - 19
742,34 - 19
776,34 - 22
813,37 - 22
827,39 - 22
900,41 - 22
900,42 - 22
981,42 - 24
1017,42 - 26
1038,44 - 26
1051,44 - 28
1078,45 - 28
1078,46 - 28
1100,48 - 28
1100,49 - 28
1111,49 - 29
1111,49 - 30
1127,52 - 30
1146,53 - 30
1146,54 - 30
1188,54 - 32
1201,54 - 33
1217,54 - 36
1241,56 - 36
1280,56 - 38
1280,56 - 39
1324,56 - 42
1352,56 - 44
1360,57 - 44
1360,57 - 45
1378,59 - 45
1397,61 - 45
1418,61 - 48
1435,64 - 48
1440,64 - 48
1440,64 - 48
1460,66 - 48
1499,66 - 50
1519,68 - 50
1537,68 - 52
1555,70 - 52
1594,72 - 52
1624,74 - 52
1640,74 - 53
1640,74 - 54
1654,77 - 54
1673,77 - 56
1704,77 - 59
1728,79 - 59
1768,79 - 60
1768,79 - 61
1808,82 - 61
1826,83 - 61
1826,84 - 61
1842,84 - 63
1863,86 - 63
1917,87 - 63
1972,89 - 63
1986,89 - 65
2014,89 - 68
2054,89 - 70
2067,91 - 70
2093,91 - 72
2153,91 - 74
2160,91 - 74
2160,91 - 74
2220,93 - 74
2249,94 - 74
2249,95 - 74
2276,95 - 76
2276,95 - 77
2294,95 - 80
2337,95 - 83
2367,95 - 84
2425,95 - 86
2527,95 - 88
2620,95 - 90
2636,96 - 90
2672,98 - 90
2708,101 - 90
2726,101 - 92
2746,104 - 92
2850,106 - 92
2880,106 - 92
