CUMULATIVE_TIME,SCORE
36,0 - 2
41,1 - 2
90,3 - 2
105,3 - 4
105,3 - 5
132,3 - 7
182,3 - 9
191,6 - 9
215,6 - 10
215,6 - 11
231,6 - 13
244,8 - 13
296,10 - 13
397,10 - 15
417,10 - 17
450,10 - 18
476,12 - 18
500,14 - 18
515,14 - 19
515,14 - 20
547,16 - 20
592,18 - 20
610,20 - 20
629,20 - 22
675,21 - 22
718,21 - 23
718,21 - 24
720,21 - 24
720,21 - 24
758,23 - 24
795,25 - 24
825,26 - 24
911,28 - 24
951,30 - 24
974,30 - 27
983,32 - 27
1008,33 - 27
1008,34 - 27
1058,34 - 29
1082,35 - 29
1096,35 - 30
1134,37 - 30
1152,37 - 32
1223,40 - 32
1242,40 - 35
1253,43 - 35
1269,43 - 36
1269,43 - 37
1299,43 - 39
1315,46 - 39
1343,49 - 39
1408,50 - 39
1408,51 - 39
1425,51 - 40
1439,53 - 40
1440,53 - 40
1440,53 - 40
1462,53 - 42
1479,55 - 42
1503,57 - 42
1544,58 - 42
1544,59 - 42
1571,62 - 42
1595,62 - 45
1634,65 - 45
1670,67 - 45
1717,67 - 47
1725,68 - 47
1725,69 - 47
1739,69 - 50
1764,69 - 53
1783,72 - 53
1807,72 - 55
1828,73 - 55
1828,74 - 55
1878,74 - 58
1902,74 - 60
1948,76 - 60
1991,78 - 60
2017,78 - 62
2042,78 - 65
2073,80 - 65
2097,80 - 67
2128,80 - 70
2135,82 - 70
2158,82 - 71
2160,82 - 71
2160,82 - 71
2173,83 - 71
2173,84 - 71
2206,86 - 71
2223,86 - 72
2243,88 - 72
2260,88 - 74
2312,89 - 74
2379,89 - 76
2470,92 - 76
2484,92 - 77
2536,92 - 79
2548,93 - 79
2548,94 - 79
2604,94 - 82
2631,95 - 82
2631,96 - 82
2651,98 - 82
2673,98 - 84
2687,100 - 84
2707,100 - 87
2737,100 - 88
2756,102 - 88
2796,102 - 91
2842,104 - 91
2864,104 - 93
2880,104 - 93
