CUMULATIVE_TIME,SCORE
20,2 - 0
57,2 - 2
96,4 - 2
115,4 - 3
115,4 - 4
162,6 - 4
179,6 - 6
193,7 - 6
193,8 - 6
206,8 - 8
235,11 - 8
292,12 - 8
292,13 - 8
304,13 - 9
304,13 - 10
337,16 - 10
376,18 - 10
396,18 - 12
412,20 - 12
440,21 - 12
440,22 - 12
458,24 - 12
474,24 - 14
494,26 - 14
517,26 - 16
524,27 - 16
524,28 - 16
542,28 - 19
589,28 - 21
601,30 - 21
640,32 - 21
656,32 - 23
677,35 - 23
688,35 - 24
709,35 - 26
718,38 - 26
720,38 - 26
720,38 - 26
747,38 - 28
795,38 - 30
809,40 - 30
825,40 - 32
903,43 - 32
926,43 - 34
955,43 - 35
955,43 - 36
955,43 - 37
964,45 - 37
990,45 - 39
1015,45 - 41
1049,45 - 43
1079,45 - 46
1104,47 - 46
1124,47 - 48
1182,47 - 50
1196,49 - 50
1226,49 - 51
1226,49 - 52
1248,49 - 53
1248,49 - 54
1265,51 - 54
1329,52 - 54
1329,53 - 54
1378,55 - 54
1393,55 - 56
1410,55 - 57
1410,55 - 58
1430,56 - 58
1430,57 - 58
1440,57 - 58
1440,57 - 58
1495,59 - 58
1531,61 - 58
1595,63 - 58
1736,63 - 60
1756,65 - 60
1777,65 - 63
1797,65 - 65
1870,68 - 65
1891,68 - 67
1891,68 - 68
1914,68 - 71
1937,71 - 71
1968,71 - 74
2062,71 - 76
2096,73 - 76
2120,76 - 76
2137,76 - 78
2153,78 - 78
2160,78 - 81
2160,78 - 81
2160,78 - 81
2247,78 - 83
2275,78 - 85
2294,80 - 85
2309,80 - 87
2331,82 - 87
2413,82 - 89
2451,84 - 89
2501,86 - 89
2529,87 - 89
2529,88 - 89
2571,89 - 89
2571,90 - 89
2644,90 - 91
2689,90 - 93
2730,91 - 93
2730,92 - 93
2743,92 - 96
2757,93 - 96
2757,94 - 96
2779,94 - 98
2790,97 - 98
2854,97 - 101
2857,98 - 101
2868,98 - 102
2876,98 - 103
2876,98 - 104
2880,98 - 104
