CUMULATIVE_TIME,SCORE
41,0 - 2
129,1 - 2
129,2 - 2
145,2 - 3
157,5 - 3
178,5 - 5
187,7 - 5
217,7 - 7
229,9 - 7
256,11 - 7
282,13 - 7
283,14 - 7
327,14 - 8
327,14 - 9
339,16 - 9
395,19 - 9
415,19 - 12
440,21 - 12
455,21 - 13
455,21 - 14
475,24 - 14
508,24 - 16
537,24 - 17
537,24 - 18
554,26 - 18
627,26 - 20
641,28 - 20
673,28 - 22
689,30 - 22
720,30 - 22
720,30 - 22
742,32 - 22
764,32 - 24
774,34 - 24
819,34 - 26
841,36 - 26
858,38 - 26
877,38 - 28
948,38 - 30
1025,38 - 32
1053,38 - 35
1081,38 - 37
1112,39 - 37
1112,40 - 37
1143,42 - 37
1162,42 - 39
1192,44 - 39
1211,44 - 42
1221,47 - 42
1228,47 - 45
1241,49 - 45
1241,50 - 45
1290,50 - 47
1349,51 - 47
1406,51 - 48
1440,51 - 48
1440,51 - 48
1458,53 - 48
1475,53 - 50
1518,55 - 50
1537,55 - 52
1548,57 - 52
1607,57 - 55
1681,59 - 55
1697,59 - 56
1703,60 - 56
1703,61 - 56
1742,63 - 56
1771,63 - 58
1825,64 - 58
1856,64 - 60
1943,64 - 62
1973,64 - 64
2025,66 - 64
2045,66 - 66
2089,66 - 68
2104,68 - 68
2160,68 - 68
2160,68 - 68
2251,70 - 68
2257,70 - 70
2282,72 - 70
2292,72 - 73
2303,73 - 73
2303,74 - 73
2368,74 - 76
2396,76 - 76
2466,76 - 78
2484,79 - 78
2531,79 - 80
2574,79 - 82
2585,81 - 82
2631,81 - 84
2648,83 - 84
2681,85 - 84
2700,85 - 86
2714,88 - 86
2735,88 - 88
2759,88 - 90
2854,89 - 90
2872,91 - 90
2876,92 - 90
2876,93 - 90
2878,94 - 90
2878,95 - 90
2880,95 - 90
