CUMULATIVE_TIME,SCORE
38,2 - 0
54,2 - 2
54,2 - 3
64,4 - 3
115,4 - 4
115,4 - 5
124,4 - 7
151,4 - 9
184,4 - 11
199,7 - 11
219,10 - 11
253,10 - 13
276,10 - 15
311,13 - 15
324,13 - 17
345,13 - 20
370,13 - 22
409,13 - 24
421,16 - 24
461,16 - 26
495,18 - 26
512,18 - 28
569,18 - 29
569,18 - 30
585,20 - 30
601,23 - 30
651,23 - 33
664,25 - 33
676,25 - 35
718,25 - 38
720,25 - 38
720,25 - 38
787,25 - 40
843,25 - 42
843,25 - 43
858,27 - 43
872,27 - 45
884,28 - 45
943,28 - 47
967,28 - 50
983,30 - 50
1002,30 - 53
1027,30 - 56
1040,32 - 56
1068,33 - 56
1068,34 - 56
1112,34 - 58
1183,36 - 58
1209,39 - 58
1254,41 - 58
1278,41 - 59
1285,42 - 59
1285,43 - 59
1303,43 - 61
1313,45 - 61
1373,45 - 63
1399,48 - 63
1419,48 - 64
1419,48 - 65
1439,49 - 65
1440,49 - 65
1440,49 - 65
1491,49 - 67
1521,51 - 67
1546,51 - 69
1556,53 - 69
1573,55 - 69
1625,57 - 69
1640,60 - 69
1685,60 - 71
1752,60 - 73
1777,62 - 73
1800,62 - 75
1820,62 - 77
1961,64 - 77
1983,64 - 79
1994,65 - 79
1994,66 - 79
2011,68 - 79
2023,68 - 80
2023,68 - 81
2056,70 - 81
2089,70 - 83
2104,73 - 83
2119,73 - 84
2152,73 - 86
2159,75 - 86
2160,75 - 86
2160,75 - 86
2183,78 - 86
2231,80 - 86
2231,81 - 86
2263,81 - 87
2315,84 - 87
2331,84 - 90
2342,87 - 90
2387,87 - 92
2404,88 - 92
2432,90 - 92
2494,90 - 94
2508,92 - 94
2598,94 - 94
2674,96 - 94
2708,96 - 96
2723,98 - 96
2777,98 - 99
2794,100 - 99
2854,102 - 99
2869,102 - 101
2870,103 - 101
2870,104 - 101
2878,105 - 101
2878,106 - 101
2880,106 - 101
