CUMULATIVE_TIME,SCORE
16,2 - 0
35,2 - 3
64,2 - 6
82,3 - 6
82,4 - 6
94,4 - 8
109,7 - 8
117,7 - 11
136,10 - 11
162,10 - 13
191,10 - 14
209,12 - 14
217,12 - 17
241,12 - 19
329,14 - 19
338,14 - 21
354,16 - 21
428,16 - 23
446,17 - 23
446,18 - 23
501,20 - 23
529,20 - 25
553,20 - 27
590,22 - 27
600,22 - 29
627,24 - 29
635,24 - 32
654,25 - 32
654,26 - 32
669,26 - 35
681,29 - 35
720,29 - 35
720,29 - 35
771,31 - 35
811,31 - 37
917,32 - 37
917,33 - 37
944,33 - 40
957,35 - 40
967,35 - 42
979,37 - 42
989,37 - 44
1023,39 - 44
1042,39 - 46
1071,39 - 49
1087,40 - 49
1122,43 - 49
1149,45 - 49
1182,47 - 49
1237,49 - 49
1303,49 - 52
1346,51 - 52
1361,51 - 54
1416,51 - 56
1440,51 - 56
1440,51 - 56
1481,52 - 56
1481,53 - 56
1509,53 - 58
1585,53 - 60
1658,56 - 60
1682,58 - 60
1697,58 - 62
1707,60 - 62
1746,60 - 64
1768,62 - 64
1802,64 - 64
1810,64 - 66
1850,66 - 66
1871,66 - 68
1871,66 - 69
1891,66 - 71
1926,69 - 71
1942,69 - 73
1965,71 - 73
1993,73 - 73
2022,75 - 73
2035,75 - 75
2073,75 - 77
2120,75 - 79
2134,76 - 79
2134,77 - 79
2156,77 - 81
2160,79 - 81
2160,79 - 81
2160,79 - 81
2195,79 - 83
2195,79 - 84
2226,79 - 85
2226,79 - 86
2245,79 - 88
2280,80 - 88
2343,80 - 90
2343,80 - 91
2356,83 - 91
2372,83 - 93
2424,85 - 93
2451,86 - 93
2451,87 - 93
2451,88 - 93
2483,90 - 93
2492,90 - 95
2510,91 - 95
2510,92 - 95
2526,92 - 97
2556,92 - 99
2578,94 - 99
2604,96 - 99
2632,98 - 99
2646,98 - 101
2714,98 - 103
2729,100 - 103
2742,100 - 105
2778,102 - 105
2810,103 - 105
2810,104 - 105
2865,107 - 105
2878,107 - 107
2880,107 - 107
3300,107 - 107
3321,109 - 107
3410,109 - 109
3490,111 - 109
3532,111 - 111
3592,113 - 111
3600,113 - 111
