CUMULATIVE_TIME,SCORE
21,0 - 2
42,2 - 2
89,2 - 4
102,3 - 4
137,3 - 6
153,6 - 6
172,8 - 6
213,8 - 8
213,9 - 8
225,11 - 8
280,14 - 8
326,17 - 8
341,17 - 10
352,19 - 10
367,19 - 13
379,20 - 13
409,20 - 16
453,23 - 16
476,23 - 19
538,23 - 21
555,25 - 21
581,25 - 23
621,25 - 26
637,26 - 26
637,27 - 26
637,28 - 26
652,28 - 28
672,30 - 28
720,30 - 28
720,30 - 28
763,32 - 28
818,34 - 28
832,34 - 31
859,37 - 31
888,39 - 31
902,39 - 32
912,39 - 33
912,39 - 34
933,39 - 37
1067,41 - 37
1101,44 - 37
1126,44 - 38
1162,44 - 39
1186,47 - 39
1219,49 - 39
1249,49 - 40
1249,49 - 41
1272,52 - 41
1281,54 - 41
1314,54 - 42
1314,54 - 43
1363,55 - 43
1363,56 - 43
1372,56 - 45
1410,56 - 47
1430,57 - 47
1430,58 - 47
1440,58 - 47
1440,58 - 47
1467,60 - 47
1484,60 - 49
1516,62 - 49
1531,62 - 51
1582,62 - 53
1616,62 - 55
1616,62 - 56
1633,62 - 59
1659,64 - 59
1727,67 - 59
1808,67 - 61
1851,68 - 61
1851,69 - 61
1884,69 - 62
1884,69 - 63
1918,72 - 63
1939,72 - 65
1960,72 - 67
2095,75 - 67
2105,76 - 67
2105,77 - 67
2130,79 - 67
2130,79 - 67
2145,79 - 68
2145,79 - 69
2160,79 - 70
2160,79 - 71
2160,79 - 71
2160,79 - 71
2179,79 - 72
2179,79 - 73
2195,80 - 73
2212,80 - 75
2240,80 - 77
2266,80 - 80
2320,82 - 80
2345,82 - 81
2345,82 - 82
2345,82 - 83
2355,84 - 83
2396,84 - 85
2431,86 - 85
2448,86 - 86
2448,86 - 87
2513,86 - 90
2556,88 - 90
2565,88 - 91
2565,88 - 92
2594,88 - 95
2643,89 - 95
2643,89 - 96
2643,89 - 97
2657,89 - 100
2684,91 - 100
2708,91 - 103
2768,91 - 105
2787,91 - 107
2831,93 - 107
2859,94 - 107
2859,95 - 107
2880,95 - 107
