CUMULATIVE_TIME,SCORE
41,0 - 2
66,0 - 4
78,1 - 4
131,1 - 6
165,1 - 8
184,2 - 8
215,4 - 8
226,4 - 10
241,6 - 10
251,6 - 12
313,6 - 14
313,6 - 15
327,7 - 15
346,7 - 17
396,7 - 20
406,9 - 20
432,9 - 21
432,9 - 22
458,9 - 24
530,11 - 24
555,11 - 26
579,11 - 29
608,13 - 29
632,16 - 29
654,16 - 31
694,17 - 31
720,17 - 31
720,17 - 31
742,17 - 33
786,19 - 33
803,19 - 35
803,19 - 36
866,21 - 36
902,23 - 36
958,23 - 39
1007,23 - 41
1045,23 - 43
1070,26 - 43
1109,28 - 43
1145,30 - 43
1201,30 - 45
1219,32 - 45
1241,32 - 48
1262,34 - 48
1284,34 - 51
1306,34 - 53
1335,34 - 55
1358,34 - 57
1374,36 - 57
1440,38 - 57
1440,38 - 57
1440,38 - 57
1459,40 - 57
1481,40 - 59
1499,40 - 60
1499,40 - 61
1533,40 - 63
1548,43 - 63
1566,43 - 65
1580,45 - 65
1601,45 - 67
1613,48 - 67
1636,50 - 67
1663,53 - 67
1683,53 - 68
1724,53 - 70
1743,53 - 71
1781,53 - 73
1802,56 - 73
1833,59 - 73
1849,59 - 75
1849,59 - 76
1875,59 - 77
1885,59 - 79
1901,61 - 79
1914,61 - 80
1914,61 - 81
1925,63 - 81
1957,65 - 81
2010,65 - 83
2053,65 - 85
2097,65 - 87
2113,67 - 87
2127,67 - 89
2160,67 - 89
2160,67 - 89
2249,67 - 91
2271,69 - 91
2293,71 - 91
2351,71 - 94
2385,71 - 96
2415,71 - 99
2429,73 - 99
2511,75 - 99
2522,75 - 101
2551,77 - 101
2594,77 - 103
2613,78 - 103
2651,81 - 103
2681,84 - 103
2706,86 - 103
2724,86 - 105
2737,88 - 105
2800,90 - 105
2834,92 - 105
2848,92 - 107
2880,92 - 107
