CUMULATIVE_TIME,SCORE
25,3 - 0
212,3 - 3
267,3 - 5
297,3 - 6
313,5 - 6
320,5 - 7
320,5 - 8
364,7 - 8
378,7 - 10
409,7 - 12
439,7 - 14
460,7 - 16
505,9 - 16
524,9 - 18
544,11 - 18
590,11 - 20
653,13 - 20
670,13 - 22
670,13 - 23
690,13 - 25
711,15 - 25
720,15 - 25
720,15 - 25
752,18 - 25
852,18 - 28
871,18 - 30
923,18 - 31
923,18 - 32
950,18 - 34
985,18 - 36
1023,18 - 39
1109,18 - 40
1119,20 - 40
1133,20 - 42
1161,20 - 45
1209,20 - 47
1228,22 - 47
1238,22 - 49
1249,24 - 49
1282,27 - 49
1335,27 - 52
1379,27 - 55
1440,28 - 55
1440,28 - 55
1440,28 - 55
1459,30 - 55
1481,30 - 58
1520,30 - 60
1560,30 - 63
1577,31 - 63
1577,32 - 63
1612,34 - 63
1626,34 - 65
1641,36 - 65
1680,36 - 68
1728,37 - 68
1741,37 - 71
1764,39 - 71
1792,39 - 72
1792,39 - 73
1837,41 - 73
1867,41 - 76
1884,43 - 76
1905,44 - 76
1905,45 - 76
1913,45 - 78
1922,47 - 78
1943,47 - 79
1943,47 - 80
1951,48 - 80
1951,49 - 80
1966,49 - 81
1966,49 - 82
1995,49 - 84
2016,49 - 85
2027,52 - 85
2055,54 - 85
2098,56 - 85
2124,57 - 85
2130,57 - 87
2142,60 - 87
2157,60 - 89
2160,60 - 89
2160,60 - 89
2198,60 - 92
2215,63 - 92
2267,63 - 93
2287,63 - 95
2300,66 - 95
2352,66 - 97
2377,68 - 97
2388,68 - 99
2414,68 - 101
2450,68 - 103
2474,68 - 104
2474,68 - 105
2532,68 - 106
2532,68 - 107
2590,69 - 107
2626,69 - 108
2645,71 - 108
2663,72 - 108
2663,73 - 108
2671,73 - 111
2695,73 - 113
2710,75 - 113
2731,75 - 115
2771,75 - 117
2771,75 - 118
2804,77 - 118
2826,77 - 120
2836,79 - 120
2850,79 - 122
2880,79 - 122
