CUMULATIVE_TIME,SCORE
49,2 - 0
59,2 - 3
69,4 - 3
115,4 - 4
153,6 - 4
261,8 - 4
287,10 - 4
301,10 - 6
309,10 - 8
339,10 - 10
370,10 - 12
390,11 - 12
405,11 - 14
449,11 - 16
462,13 - 16
475,13 - 18
504,15 - 18
534,15 - 21
549,18 - 21
609,20 - 21
626,20 - 23
659,22 - 23
670,22 - 25
712,22 - 27
720,22 - 27
720,22 - 27
762,22 - 29
793,22 - 30
821,22 - 32
874,22 - 34
895,22 - 36
910,23 - 36
942,25 - 36
942,26 - 36
954,26 - 38
954,26 - 39
991,28 - 39
1040,29 - 39
1074,29 - 40
1092,31 - 40
1092,32 - 40
1108,32 - 42
1122,34 - 42
1209,36 - 42
1236,36 - 44
1274,36 - 46
1291,39 - 46
1316,41 - 46
1347,41 - 48
1380,41 - 51
1389,42 - 51
1389,43 - 51
1401,43 - 53
1409,44 - 53
1429,44 - 55
1440,44 - 55
1440,44 - 55
1454,47 - 55
1479,49 - 55
1548,51 - 55
1561,51 - 57
1587,53 - 57
1600,53 - 60
1626,55 - 60
1654,56 - 60
1654,57 - 60
1669,58 - 60
1669,59 - 60
1687,59 - 62
1743,59 - 64
1794,61 - 64
1858,63 - 64
1868,63 - 65
1868,63 - 66
1920,63 - 67
1920,63 - 68
1938,64 - 68
1938,65 - 68
1968,67 - 68
1982,67 - 70
2046,67 - 72
2073,69 - 72
2092,71 - 72
2114,71 - 75
2157,71 - 77
2160,71 - 77
2160,71 - 77
2181,71 - 79
2204,73 - 79
2204,74 - 79
2224,74 - 82
2271,76 - 82
2312,76 - 84
2366,78 - 84
2403,80 - 84
2434,82 - 84
2455,84 - 84
2470,84 - 86
2494,86 - 86
2509,86 - 88
2547,88 - 88
2547,89 - 88
2555,89 - 91
2579,92 - 91
2592,92 - 93
2608,94 - 93
2616,94 - 94
2670,95 - 94
2728,98 - 94
2772,98 - 97
2791,100 - 97
2800,100 - 98
2800,100 - 99
2812,102 - 99
2846,102 - 102
2854,104 - 102
2872,104 - 105
2875,106 - 105
2879,106 - 107
2880,106 - 107
