CUMULATIVE_TIME,SCORE
69,0 - 3
80,2 - 3
98,2 - 4
117,4 - 4
171,7 - 4
186,8 - 4
206,8 - 7
221,9 - 7
241,9 - 8
283,11 - 8
340,13 - 8
387,13 - 11
444,13 - 12
444,13 - 13
444,13 - 14
457,15 - 14
477,17 - 14
490,17 - 16
490,17 - 17
519,17 - 19
538,19 - 19
600,21 - 19
618,22 - 19
646,24 - 19
718,27 - 19
720,27 - 19
720,27 - 19
740,29 - 19
805,29 - 21
822,31 - 21
832,31 - 23
858,31 - 26
889,33 - 26
904,33 - 28
941,35 - 28
981,37 - 28
1025,37 - 30
1037,39 - 30
1085,39 - 33
1100,41 - 33
1117,41 - 35
1167,41 - 37
1196,41 - 38
1208,43 - 38
1288,46 - 38
1315,49 - 38
1355,52 - 38
1394,52 - 40
1394,52 - 41
1410,52 - 43
1434,55 - 43
1440,55 - 43
1440,55 - 43
1469,55 - 45
1516,55 - 47
1539,55 - 49
1596,55 - 51
1596,55 - 52
1620,55 - 53
1654,57 - 53
1678,58 - 53
1678,59 - 53
1698,59 - 55
1726,59 - 56
1726,59 - 57
1763,59 - 59
1773,61 - 59
1784,61 - 62
1796,64 - 62
1812,64 - 65
1823,65 - 65
1823,66 - 65
1841,66 - 67
1872,68 - 67
1902,70 - 67
1955,72 - 67
1995,72 - 69
2025,72 - 72
2049,74 - 72
2071,74 - 74
2097,74 - 76
2105,76 - 76
2123,76 - 77
2138,78 - 77
2158,78 - 79
2160,78 - 79
2160,78 - 79
2174,78 - 81
2216,78 - 83
2263,80 - 83
2275,80 - 85
2275,80 - 86
2365,82 - 86
2381,82 - 88
2513,82 - 90
2540,84 - 90
2565,86 - 90
2602,88 - 90
2627,88 - 91
2627,88 - 92
2645,91 - 92
2681,93 - 92
2696,95 - 92
2717,95 - 95
2754,95 - 96
2799,95 - 98
2799,95 - 99
2808,95 - 100
2812,97 - 100
2845,100 - 100
2863,100 - 101
2871,100 - 102
2871,100 - 103
2880,100 - 103
