CUMULATIVE_TIME,SCORE
37,2 - 0
37,3 - 0
63,5 - 0
80,5 - 1
101,5 - 3
112,8 - 3
136,10 - 3
167,12 - 3
183,12 - 6
208,12 - 8
235,12 - 10
259,12 - 12
271,15 - 12
342,17 - 12
395,19 - 12
419,19 - 14
424,19 - 15
441,22 - 15
472,22 - 17
521,22 - 18
521,22 - 19
531,22 - 21
548,24 - 21
592,24 - 23
603,24 - 24
651,26 - 24
720,26 - 24
720,26 - 24
733,26 - 26
746,29 - 26
765,29 - 28
804,29 - 29
816,31 - 29
831,31 - 31
844,33 - 31
857,33 - 32
870,34 - 32
870,35 - 32
904,37 - 32
913,37 - 33
971,37 - 34
996,37 - 36
1019,37 - 37
1040,40 - 37
1059,40 - 38
1090,43 - 38
1162,44 - 38
1162,45 - 38
1180,45 - 40
1201,47 - 40
1248,49 - 40
1279,49 - 42
1301,51 - 42
1319,51 - 43
1319,51 - 44
1339,54 - 44
1351,56 - 44
1404,56 - 45
1437,56 - 47
1437,56 - 48
1440,59 - 48
1440,59 - 48
1440,59 - 48
1472,62 - 48
1487,62 - 50
1500,65 - 50
1551,65 - 51
1561,67 - 51
1611,69 - 51
1625,69 - 52
1625,69 - 53
1659,69 - 55
1659,69 - 56
1693,71 - 56
1704,71 - 58
1728,72 - 58
1728,73 - 58
1746,73 - 60
1759,73 - 61
1759,73 - 62
1798,74 - 62
1847,74 - 63
1872,74 - 65
1925,76 - 65
1936,76 - 67
1948,77 - 67
1954,77 - 69
1979,80 - 69
1999,82 - 69
2014,82 - 71
2020,82 - 72
2035,84 - 72
2062,86 - 72
2072,86 - 73
2072,86 - 74
2091,86 - 76
2111,88 - 76
2136,89 - 76
2136,90 - 76
2160,90 - 76
2160,90 - 76
2180,93 - 76
2196,93 - 78
2224,95 - 78
2239,95 - 79
2239,95 - 80
2261,95 - 82
2286,97 - 82
2321,97 - 84
2336,98 - 84
2336,99 - 84
2367,99 - 87
2387,100 - 87
2387,101 - 87
2419,104 - 87
2459,106 - 87
2469,106 - 89
2489,107 - 89
2489,108 - 89
2504,108 - 92
2519,109 - 92
2549,110 - 92
2588,110 - 93
2588,110 - 94
2606,113 - 94
2617,113 - 96
2637,115 - 96
2656,115 - 97
2656,115 - 98
2678,115 - 99
2678,115 - 100
2700,115 - 102
2717,116 - 102
2759,116 - 103
2759,116 - 104
2773,118 - 104
2783,118 - 106
2809,119 - 106
2809,120 - 106
2809,121 - 106
2819,121 - 107
2819,121 - 108
2857,123 - 108
2876,123 - 109
2876,123 - 110
2880,123 - 110
