CUMULATIVE_TIME,SCORE
49,0 - 2
49,0 - 3
66,0 - 5
100,2 - 5
140,5 - 5
150,8 - 5
155,8 - 6
155,8 - 7
192,10 - 7
204,10 - 10
223,13 - 10
232,13 - 12
251,13 - 14
271,15 - 14
298,17 - 14
321,17 - 16
321,17 - 17
369,19 - 17
401,22 - 17
455,22 - 19
490,22 - 21
499,24 - 21
515,24 - 24
538,24 - 26
556,26 - 26
596,26 - 27
596,26 - 28
618,28 - 28
662,28 - 30
695,30 - 30
720,30 - 30
720,30 - 30
758,30 - 31
849,30 - 33
872,30 - 34
872,30 - 35
888,30 - 37
896,31 - 37
912,31 - 39
935,33 - 39
935,34 - 39
958,34 - 41
975,37 - 41
988,37 - 44
1002,38 - 44
1002,39 - 44
1016,39 - 45
1016,39 - 46
1039,39 - 48
1059,41 - 48
1101,43 - 48
1138,43 - 50
1174,43 - 52
1225,44 - 52
1225,45 - 52
1267,47 - 52
1290,50 - 52
1303,51 - 52
1303,52 - 52
1319,52 - 54
1346,52 - 56
1373,52 - 58
1415,54 - 58
1440,54 - 58
1440,54 - 58
1460,56 - 58
1515,58 - 58
1584,60 - 58
1597,60 - 61
1734,62 - 61
1746,62 - 63
1778,62 - 65
1800,65 - 65
1809,65 - 67
1828,67 - 67
1839,67 - 68
1839,67 - 69
1861,67 - 71
1918,70 - 71
1964,70 - 73
1981,72 - 73
1997,72 - 75
2010,74 - 75
2030,74 - 78
2069,74 - 81
2069,74 - 82
2092,76 - 82
2123,78 - 82
2160,78 - 82
2160,78 - 82
2160,78 - 83
2160,78 - 84
2200,78 - 86
2219,79 - 86
2219,80 - 86
2255,82 - 86
2291,82 - 87
2304,84 - 87
2326,84 - 89
2343,85 - 89
2362,86 - 89
2362,87 - 89
2383,87 - 91
2414,87 - 93
2442,89 - 93
2489,89 - 95
2539,91 - 95
2563,92 - 95
2563,93 - 95
2598,95 - 95
2609,95 - 98
2635,95 - 100
2731,95 - 102
2752,97 - 102
2763,97 - 104
2787,99 - 104
2823,101 - 104
2874,102 - 104
2874,103 - 104
2876,103 - 105
2876,103 - 106
2877,104 - 106
2877,105 - 106
2877,105 - 107
2877,105 - 108
2880,105 - 108
