CUMULATIVE_TIME,SCORE
71,3 - 0
88,5 - 0
148,5 - 1
166,7 - 1
182,7 - 3
275,7 - 5
275,7 - 6
291,9 - 6
388,11 - 6
408,11 - 8
429,11 - 9
429,11 - 10
442,13 - 10
473,15 - 10
505,17 - 10
526,17 - 12
540,19 - 12
595,21 - 12
607,21 - 14
625,21 - 16
659,21 - 18
666,22 - 18
666,23 - 18
684,25 - 18
699,25 - 20
720,25 - 20
720,25 - 20
760,27 - 20
811,27 - 21
811,27 - 22
820,29 - 22
834,29 - 24
850,31 - 24
861,31 - 26
943,31 - 28
965,32 - 28
965,33 - 28
986,36 - 28
1013,36 - 30
1042,36 - 32
1068,36 - 34
1174,37 - 34
1188,38 - 34
1188,39 - 34
1221,41 - 34
1261,43 - 34
1293,43 - 35
1307,45 - 35
1386,45 - 37
1400,48 - 37
1418,48 - 39
1440,48 - 39
1440,48 - 39
1463,48 - 41
1482,50 - 41
1526,50 - 42
1548,52 - 42
1567,52 - 44
1588,53 - 44
1588,54 - 44
1605,56 - 44
1649,56 - 46
1661,58 - 46
1679,58 - 48
1706,58 - 50
1750,60 - 50
1799,60 - 51
1809,62 - 51
1823,62 - 54
1853,62 - 56
1865,63 - 56
1865,64 - 56
1891,66 - 56
1914,69 - 56
1945,71 - 56
1975,73 - 56
2020,75 - 56
2043,75 - 57
2043,75 - 58
2074,75 - 60
2099,75 - 61
2110,77 - 61
2118,77 - 62
2118,77 - 63
2148,79 - 63
2160,79 - 63
2160,79 - 63
2216,79 - 65
2232,81 - 65
2255,82 - 65
2255,83 - 65
2265,83 - 66
2265,83 - 67
2281,85 - 67
2312,87 - 67
2344,89 - 67
2360,89 - 68
2383,89 - 70
2431,91 - 70
2450,91 - 72
2483,91 - 74
2502,94 - 74
2545,94 - 77
2558,96 - 77
2604,98 - 77
2642,98 - 78
2661,100 - 78
2708,100 - 79
2732,100 - 80
2756,102 - 80
2774,102 - 82
2805,102 - 84
2825,102 - 86
2880,102 - 86
