CUMULATIVE_TIME,SCORE
32,0 - 2
51,2 - 2
68,2 - 4
91,4 - 4
103,4 - 5
103,4 - 6
159,6 - 6
170,6 - 8
208,8 - 8
264,10 - 8
299,10 - 11
345,12 - 11
345,13 - 11
361,13 - 13
424,15 - 13
441,15 - 15
457,17 - 15
481,17 - 17
500,19 - 17
524,19 - 19
556,19 - 21
556,19 - 22
581,22 - 22
613,22 - 23
613,22 - 24
625,25 - 24
647,25 - 26
691,27 - 26
719,29 - 26
720,29 - 26
720,29 - 26
797,31 - 26
847,32 - 26
862,32 - 29
918,32 - 32
932,32 - 33
932,32 - 34
953,33 - 34
953,34 - 34
994,34 - 36
1033,34 - 38
1053,36 - 38
1067,37 - 38
1082,38 - 38
1082,39 - 38
1235,41 - 38
1252,41 - 40
1263,43 - 40
1293,45 - 40
1337,45 - 42
1363,45 - 44
1387,48 - 44
1439,50 - 44
1440,50 - 44
1440,50 - 44
1460,50 - 47
1487,52 - 47
1499,52 - 49
1511,55 - 49
1526,57 - 49
1571,57 - 52
1590,59 - 52
1597,59 - 54
1618,61 - 54
1678,64 - 54
1716,66 - 54
1735,66 - 56
1765,66 - 58
1765,66 - 59
1846,68 - 59
1859,68 - 61
1883,71 - 61
1954,73 - 61
1969,73 - 63
2011,73 - 64
2034,75 - 64
2048,77 - 64
2065,77 - 65
2080,79 - 65
2098,79 - 67
2098,79 - 68
2115,82 - 68
2155,82 - 70
2160,82 - 70
2160,82 - 70
2180,82 - 72
2201,84 - 72
2219,84 - 74
2268,84 - 76
2295,84 - 77
2317,86 - 77
2331,86 - 79
2349,88 - 79
2374,89 - 79
2403,89 - 81
2418,91 - 81
2428,91 - 82
2428,91 - 83
2446,93 - 83
2460,93 - 86
2518,94 - 86
2595,94 - 88
2619,96 - 88
2619,97 - 88
2638,99 - 88
2652,99 - 89
2652,99 - 90
2652,99 - 91
2703,102 - 91
2715,102 - 93
2735,104 - 93
2735,105 - 93
2744,105 - 96
2768,108 - 96
2779,108 - 98
2800,110 - 98
2827,113 - 98
2857,113 - 100
2880,113 - 100
