CUMULATIVE_TIME,SCORE
17,0 - 2
57,0 - 5
101,2 - 5
128,4 - 5
141,4 - 7
180,6 - 7
202,6 - 9
222,8 - 9
234,8 - 11
258,8 - 12
258,8 - 13
274,10 - 13
293,10 - 15
308,10 - 17
331,10 - 20
353,12 - 20
372,12 - 22
398,12 - 25
449,13 - 25
449,14 - 25
488,14 - 27
503,16 - 27
525,16 - 30
566,19 - 30
605,20 - 30
605,21 - 30
629,21 - 32
655,21 - 34
678,21 - 36
720,21 - 36
720,21 - 36
793,23 - 36
808,23 - 37
808,23 - 38
826,24 - 38
826,25 - 38
850,27 - 38
866,27 - 41
894,29 - 41
920,29 - 43
951,29 - 45
970,31 - 45
1005,31 - 48
1020,33 - 48
1033,33 - 50
1071,34 - 50
1112,34 - 52
1147,34 - 55
1172,34 - 58
1191,36 - 58
1201,36 - 61
1217,38 - 61
1278,40 - 61
1291,40 - 64
1332,42 - 64
1352,42 - 66
1408,44 - 66
1425,44 - 68
1438,46 - 68
1440,46 - 68
1440,46 - 68
1462,48 - 68
1560,48 - 70
1577,50 - 70
1590,50 - 73
1610,50 - 75
1657,50 - 77
1728,50 - 79
1750,52 - 79
1764,52 - 82
1812,52 - 83
1812,52 - 84
1891,54 - 84
1891,55 - 84
1937,55 - 86
1961,57 - 86
1980,57 - 88
2054,59 - 88
2074,60 - 88
2074,61 - 88
2081,61 - 91
2113,61 - 93
2124,62 - 93
2124,63 - 93
2136,64 - 93
2158,66 - 93
2160,66 - 93
2160,66 - 93
2205,66 - 95
2289,66 - 96
2289,66 - 97
2298,69 - 97
2351,71 - 97
2351,72 - 97
2390,74 - 97
2427,74 - 99
2497,74 - 100
2512,76 - 100
2512,77 - 100
2552,79 - 100
2611,81 - 100
2658,83 - 100
2681,86 - 100
2697,86 - 101
2707,88 - 101
2714,88 - 102
2714,88 - 103
2727,90 - 103
2781,92 - 103
2789,92 - 104
2826,95 - 104
2836,96 - 104
2836,97 - 104
2838,97 - 105
2844,98 - 105
2844,99 - 105
2845,99 - 106
2854,101 - 106
2855,101 - 107
2855,101 - 108
2862,103 - 108
2863,103 - 109
2863,103 - 110
2867,106 - 110
2869,106 - 111
2871,107 - 111
2880,107 - 111
