CUMULATIVE_TIME,SCORE
18,0 - 2
43,0 - 4
57,0 - 6
79,0 - 8
79,0 - 9
88,2 - 9
155,5 - 9
173,5 - 12
186,7 - 12
229,9 - 12
245,11 - 12
260,11 - 14
296,13 - 14
338,13 - 15
338,13 - 16
365,13 - 18
438,15 - 18
445,15 - 20
463,15 - 22
483,17 - 22
504,19 - 22
524,19 - 24
540,21 - 24
565,24 - 24
582,24 - 26
596,26 - 26
622,27 - 26
647,30 - 26
720,30 - 28
720,30 - 28
720,30 - 28
736,31 - 28
768,34 - 28
795,36 - 28
826,36 - 30
856,36 - 32
921,39 - 32
980,39 - 34
996,41 - 34
1012,41 - 36
1047,43 - 36
1065,43 - 37
1065,43 - 38
1101,45 - 38
1124,47 - 38
1164,47 - 40
1234,47 - 42
1259,50 - 42
1278,50 - 44
1366,50 - 47
1366,50 - 47
1379,51 - 47
1379,52 - 47
1413,52 - 49
1433,54 - 49
1439,54 - 51
1440,54 - 51
1440,54 - 51
1459,57 - 51
1485,57 - 53
1502,57 - 56
1526,60 - 56
1541,60 - 57
1541,60 - 58
1558,63 - 58
1655,63 - 60
1671,65 - 60
1693,65 - 62
1728,68 - 62
1744,68 - 64
1770,68 - 66
1805,68 - 68
1823,70 - 68
1838,70 - 69
1838,70 - 70
1850,72 - 70
1857,72 - 71
1857,72 - 72
1857,72 - 73
1911,74 - 73
1943,74 - 75
1957,75 - 75
1987,77 - 75
2006,77 - 77
2037,77 - 79
2049,78 - 79
2049,79 - 79
2064,79 - 81
2076,82 - 81
2105,84 - 81
2125,86 - 81
2132,86 - 82
2132,86 - 83
2160,86 - 83
2160,86 - 83
2219,86 - 85
2326,88 - 85
2345,88 - 87
2353,90 - 87
2368,90 - 90
2388,92 - 90
2427,94 - 90
2449,96 - 90
2475,96 - 92
2513,98 - 92
2564,98 - 95
2579,100 - 95
2601,100 - 97
2623,102 - 97
2637,102 - 99
2650,105 - 99
2704,107 - 99
2718,107 - 100
2778,107 - 102
2793,109 - 102
2802,109 - 103
2802,109 - 104
2818,110 - 104
2818,111 - 104
2818,112 - 104
2824,112 - 106
2850,112 - 107
2859,113 - 107
2859,114 - 107
2880,114 - 107
