CUMULATIVE_TIME,SCORE
12,0 - 2
31,3 - 2
45,3 - 3
45,3 - 4
81,4 - 4
100,4 - 6
117,4 - 8
126,7 - 8
148,7 - 9
148,7 - 10
197,7 - 11
238,9 - 11
271,9 - 13
279,11 - 13
319,14 - 13
364,14 - 15
378,16 - 15
390,16 - 16
390,16 - 17
438,19 - 17
451,19 - 20
461,20 - 20
461,21 - 20
475,21 - 21
475,21 - 22
489,23 - 22
508,24 - 22
508,25 - 22
508,26 - 22
554,26 - 23
554,26 - 24
568,27 - 24
578,27 - 26
593,29 - 26
664,29 - 28
674,31 - 28
684,31 - 30
692,33 - 30
711,33 - 31
711,33 - 32
720,33 - 32
720,33 - 32
762,35 - 32
824,35 - 35
873,37 - 35
892,37 - 37
918,37 - 39
918,37 - 40
949,37 - 43
980,39 - 43
1037,41 - 43
1067,43 - 43
1093,43 - 46
1117,43 - 49
1161,45 - 49
1182,45 - 51
1240,47 - 51
1306,49 - 51
1323,49 - 53
1345,49 - 54
1362,49 - 57
1379,51 - 57
1400,51 - 58
1400,51 - 59
1411,54 - 59
1427,54 - 60
1427,54 - 61
1437,56 - 61
1440,56 - 61
1440,56 - 61
1460,58 - 61
1480,58 - 63
1518,58 - 65
1546,61 - 65
1579,61 - 67
1614,61 - 68
1638,61 - 70
1660,61 - 72
1681,61 - 75
1753,61 - 77
1763,63 - 77
1854,63 - 78
1854,63 - 79
1866,65 - 79
1884,65 - 81
1893,66 - 81
1893,67 - 81
1925,70 - 81
1938,70 - 83
2006,70 - 86
2020,73 - 86
2063,76 - 86
2119,76 - 88
2131,76 - 90
2150,78 - 90
2160,78 - 90
2160,78 - 90
2188,78 - 92
2232,80 - 92
2268,83 - 92
2288,83 - 94
2313,85 - 94
2368,85 - 95
2404,85 - 97
2416,87 - 97
2437,87 - 99
2457,87 - 100
2457,87 - 101
2482,89 - 101
2508,89 - 102
2508,89 - 103
2519,92 - 103
2538,92 - 104
2555,92 - 105
2629,94 - 105
2689,94 - 107
2722,96 - 107
2841,96 - 110
2849,98 - 110
2876,99 - 110
2880,99 - 110
