CUMULATIVE_TIME,SCORE
48,0 - 3
77,0 - 5
112,0 - 7
127,2 - 7
141,2 - 9
158,4 - 9
238,4 - 12
245,6 - 12
299,6 - 14
307,8 - 14
320,8 - 17
332,10 - 17
354,10 - 20
394,12 - 20
408,14 - 20
437,14 - 21
437,14 - 22
479,17 - 22
523,19 - 22
600,20 - 22
600,21 - 22
636,23 - 22
654,24 - 22
654,25 - 22
675,26 - 22
711,28 - 22
720,29 - 22
720,29 - 22
720,29 - 22
737,31 - 22
809,33 - 22
824,35 - 22
841,37 - 22
862,37 - 24
872,40 - 24
889,40 - 25
901,42 - 25
940,42 - 27
957,44 - 27
1005,44 - 29
1005,44 - 30
1038,46 - 30
1054,46 - 32
1066,48 - 32
1080,48 - 33
1080,48 - 34
1096,50 - 34
1119,52 - 34
1140,52 - 36
1159,52 - 38
1215,54 - 38
1228,54 - 40
1235,55 - 40
1235,56 - 40
1299,58 - 40
1329,61 - 40
1355,63 - 40
1378,63 - 41
1378,63 - 42
1440,63 - 42
1440,63 - 42
1440,63 - 42
1475,64 - 42
1494,64 - 44
1513,66 - 44
1534,69 - 44
1555,69 - 47
1580,69 - 50
1624,69 - 52
1634,72 - 52
1662,72 - 54
1679,74 - 54
1708,76 - 54
1726,76 - 56
1736,77 - 56
1736,78 - 56
1752,78 - 58
1784,78 - 60
1784,78 - 61
1799,81 - 61
1824,81 - 64
1870,83 - 64
1910,83 - 66
1923,85 - 66
1945,85 - 67
1945,85 - 68
1966,85 - 70
1966,85 - 71
2003,85 - 73
2024,88 - 73
2048,88 - 75
2097,88 - 76
2108,89 - 76
2124,89 - 78
2131,91 - 78
2152,91 - 80
2159,94 - 80
2160,94 - 80
2160,94 - 80
2183,94 - 82
2208,97 - 82
2217,97 - 83
2217,97 - 84
2233,99 - 84
2257,101 - 84
2287,101 - 86
2367,103 - 86
2367,104 - 86
2408,107 - 86
2427,108 - 86
2427,109 - 86
2467,111 - 86
2549,113 - 86
2561,113 - 88
2587,114 - 88
2587,115 - 88
2599,115 - 89
2599,115 - 90
2671,115 - 92
2671,115 - 93
2683,117 - 93
2808,117 - 95
2833,118 - 95
2833,119 - 95
2853,119 - 96
2875,121 - 96
2880,121 - 96
