CUMULATIVE_TIME,SCORE
20,2 - 0
46,5 - 0
62,5 - 1
62,5 - 2
72,7 - 2
90,7 - 4
134,8 - 4
134,9 - 4
172,9 - 5
172,9 - 6
180,12 - 6
215,14 - 6
229,14 - 7
229,14 - 8
253,14 - 10
276,14 - 12
319,14 - 13
319,14 - 14
341,14 - 16
357,16 - 16
425,16 - 17
425,16 - 18
474,19 - 18
533,19 - 20
555,21 - 20
634,21 - 21
634,21 - 22
682,23 - 22
682,24 - 22
703,24 - 23
720,24 - 23
720,24 - 23
759,25 - 23
759,26 - 23
813,28 - 23
831,28 - 25
843,30 - 25
870,32 - 25
888,32 - 28
898,34 - 28
964,36 - 28
1019,38 - 28
1052,38 - 30
1081,40 - 30
1189,41 - 30
1189,42 - 30
1252,42 - 32
1261,43 - 32
1261,44 - 32
1299,47 - 32
1324,47 - 34
1349,47 - 36
1365,48 - 36
1372,48 - 38
1440,48 - 38
1440,48 - 38
1471,48 - 40
1481,50 - 40
1499,50 - 42
1540,50 - 44
1558,53 - 44
1571,53 - 46
1586,55 - 46
1623,55 - 47
1623,55 - 48
1636,57 - 48
1655,57 - 50
1683,60 - 50
1696,60 - 51
1696,60 - 52
1712,62 - 52
1736,64 - 52
1755,64 - 54
1809,66 - 54
1816,66 - 55
1833,68 - 55
1865,70 - 55
1883,70 - 57
1929,73 - 57
1954,73 - 58
1954,73 - 59
1954,73 - 60
1972,75 - 60
2050,75 - 62
2081,77 - 62
2113,79 - 62
2129,79 - 63
2148,82 - 63
2160,82 - 63
2160,82 - 63
2191,82 - 64
2191,82 - 65
2244,82 - 67
2302,82 - 69
2319,82 - 71
2381,84 - 71
2394,84 - 73
2415,87 - 73
2445,89 - 73
2461,89 - 75
2485,92 - 75
2501,92 - 76
2588,94 - 76
2606,94 - 78
2614,96 - 78
2652,99 - 78
2663,99 - 81
2695,99 - 83
2707,100 - 83
2707,101 - 83
2730,101 - 85
2746,104 - 85
2761,104 - 87
2786,104 - 89
2786,104 - 90
2834,104 - 92
2842,106 - 92
2850,106 - 93
2863,108 - 93
2868,108 - 95
2880,108 - 95
