CUMULATIVE_TIME,SCORE
43,0 - 2
69,0 - 4
99,0 - 7
112,2 - 7
142,3 - 7
151,3 - 9
163,5 - 9
177,5 - 10
177,5 - 11
196,8 - 11
228,8 - 13
319,8 - 15
332,10 - 15
377,10 - 17
409,10 - 19
432,12 - 19
454,12 - 21
481,12 - 24
491,14 - 24
533,16 - 24
556,16 - 26
604,16 - 28
660,16 - 30
693,18 - 30
720,18 - 30
720,18 - 30
757,19 - 30
757,20 - 30
780,20 - 32
857,20 - 33
880,23 - 33
942,25 - 33
994,25 - 36
1027,25 - 38
1061,25 - 40
1081,27 - 40
1132,27 - 42
1142,27 - 44
1154,30 - 44
1154,31 - 44
1169,31 - 46
1177,33 - 46
1177,34 - 46
1177,35 - 46
1202,36 - 46
1268,39 - 46
1286,39 - 48
1295,41 - 48
1306,41 - 49
1348,42 - 49
1348,43 - 49
1379,43 - 50
1379,43 - 51
1388,44 - 51
1400,44 - 53
1411,46 - 53
1440,46 - 53
1440,46 - 53
1472,46 - 55
1491,48 - 55
1497,48 - 58
1530,50 - 58
1530,51 - 58
1567,53 - 58
1621,55 - 58
1674,55 - 60
1688,57 - 60
1700,57 - 61
1700,57 - 62
1718,60 - 62
1726,60 - 63
1726,60 - 64
1739,62 - 64
1775,62 - 67
1808,64 - 67
1837,67 - 67
1857,67 - 69
1890,69 - 69
1902,69 - 70
1902,69 - 71
1918,72 - 71
1931,72 - 73
1966,72 - 76
1988,74 - 76
1995,74 - 78
2015,76 - 78
2034,76 - 80
2048,78 - 80
2063,78 - 82
2063,78 - 83
2079,80 - 83
2081,80 - 84
2081,80 - 85
2081,80 - 86
2093,81 - 86
2093,82 - 86
2126,82 - 88
2160,82 - 88
2160,82 - 88
2178,84 - 88
2209,86 - 88
2247,87 - 88
2276,89 - 88
2288,90 - 88
2288,91 - 88
2345,91 - 89
2345,91 - 90
2399,91 - 91
2399,91 - 92
2454,91 - 94
2473,94 - 94
2556,96 - 94
2578,96 - 95
2578,96 - 96
2597,98 - 96
2637,98 - 97
2637,98 - 98
2654,100 - 98
2689,100 - 99
2689,100 - 100
2703,101 - 100
2740,102 - 100
2740,103 - 100
2794,103 - 101
2794,103 - 102
2810,104 - 102
2810,105 - 102
2810,106 - 102
2868,106 - 104
2869,107 - 104
2869,108 - 104
2871,109 - 104
2871,110 - 104
2876,110 - 106
2880,110 - 106
