CUMULATIVE_TIME,SCORE
16,0 - 2
29,2 - 2
56,4 - 2
74,6 - 2
90,6 - 4
107,8 - 4
107,9 - 4
129,10 - 4
129,11 - 4
136,11 - 7
163,14 - 7
199,16 - 7
212,16 - 9
282,19 - 9
303,22 - 9
317,22 - 11
331,25 - 11
375,27 - 11
388,27 - 13
404,30 - 13
420,30 - 15
450,30 - 18
461,32 - 18
476,32 - 20
491,34 - 20
507,34 - 22
526,34 - 25
556,35 - 25
556,36 - 25
594,38 - 25
638,38 - 27
652,40 - 27
661,40 - 30
718,40 - 32
720,40 - 32
720,40 - 32
749,40 - 35
766,42 - 35
819,44 - 35
830,44 - 38
848,46 - 38
866,46 - 40
885,48 - 40
903,48 - 42
960,48 - 44
983,48 - 47
1017,48 - 49
1037,48 - 50
1064,49 - 50
1064,50 - 50
1098,50 - 52
1148,51 - 52
1148,52 - 52
1172,52 - 55
1203,52 - 57
1234,52 - 60
1319,55 - 60
1334,55 - 61
1345,58 - 61
1361,58 - 63
1372,59 - 63
1382,60 - 63
1393,60 - 65
1405,63 - 65
1440,63 - 65
1440,63 - 65
1512,65 - 65
1546,65 - 67
1594,65 - 69
1604,67 - 69
1624,67 - 71
1641,69 - 71
1653,69 - 74
1676,71 - 74
1763,71 - 76
1803,74 - 76
1820,74 - 78
1843,77 - 78
1854,77 - 79
1854,77 - 80
1854,77 - 81
1869,79 - 81
1885,79 - 83
1910,79 - 85
1941,79 - 87
1957,81 - 87
1979,83 - 87
2050,85 - 87
2065,85 - 89
2098,85 - 91
2113,87 - 91
2133,87 - 94
2155,89 - 94
2160,89 - 94
2160,89 - 94
2183,90 - 94
2183,91 - 94
2209,93 - 94
2226,93 - 96
2277,93 - 97
2303,94 - 97
2359,94 - 99
2392,94 - 102
2412,97 - 102
2459,99 - 102
2478,99 - 104
2535,100 - 104
2535,101 - 104
2564,103 - 104
2701,105 - 104
2719,105 - 106
2759,105 - 108
2781,105 - 110
2787,107 - 110
2802,107 - 112
2842,109 - 112
2863,109 - 114
2880,109 - 114
