CUMULATIVE_TIME,SCORE
87,3 - 0
106,3 - 3
143,5 - 3
171,7 - 3
202,9 - 3
246,9 - 5
266,9 - 7
282,11 - 7
309,11 - 9
325,11 - 11
346,11 - 13
388,14 - 13
407,14 - 15
444,14 - 16
482,16 - 16
501,16 - 18
511,18 - 18
532,18 - 20
564,18 - 23
582,20 - 23
594,20 - 25
610,22 - 25
630,22 - 26
674,22 - 29
688,23 - 29
688,24 - 29
713,24 - 31
718,24 - 33
718,24 - 34
720,24 - 34
720,24 - 34
882,24 - 37
897,25 - 37
897,26 - 37
944,27 - 37
944,28 - 37
1005,28 - 39
1026,30 - 39
1036,30 - 41
1052,30 - 44
1084,30 - 46
1093,31 - 46
1093,32 - 46
1105,32 - 48
1147,35 - 48
1171,35 - 50
1183,38 - 50
1216,38 - 52
1228,40 - 52
1246,40 - 54
1263,42 - 54
1280,42 - 56
1352,42 - 58
1364,44 - 58
1389,46 - 58
1396,46 - 61
1412,46 - 63
1438,48 - 63
1440,48 - 63
1440,48 - 63
1474,48 - 64
1474,48 - 65
1503,48 - 68
1525,48 - 69
1574,50 - 69
1612,50 - 71
1628,52 - 71
1650,54 - 71
1670,54 - 73
1678,57 - 73
1730,59 - 73
1755,59 - 75
1771,62 - 75
1806,65 - 75
1833,65 - 78
1860,65 - 80
1870,66 - 80
1870,67 - 80
1892,67 - 83
1908,70 - 83
1922,70 - 86
1959,70 - 88
1998,70 - 91
2069,71 - 91
2132,71 - 93
2151,73 - 93
2158,73 - 95
2160,73 - 95
2160,73 - 95
2184,73 - 97
2204,75 - 97
2215,75 - 98
2270,77 - 98
2288,77 - 100
2301,79 - 100
2320,79 - 102
2335,82 - 102
2354,82 - 104
2396,84 - 104
2413,84 - 105
2413,84 - 106
2438,86 - 106
2459,86 - 108
2523,86 - 110
2538,87 - 110
2538,88 - 110
2560,91 - 110
2590,93 - 110
2660,95 - 110
2660,96 - 110
2706,97 - 110
2736,99 - 110
2825,102 - 110
2845,102 - 113
2851,105 - 113
2859,105 - 114
2859,105 - 115
2880,105 - 115
