CUMULATIVE_TIME,SCORE
15,0 - 2
27,1 - 2
76,1 - 4
94,4 - 4
113,5 - 4
113,6 - 4
128,6 - 6
158,9 - 6
164,9 - 7
164,9 - 8
181,12 - 8
189,12 - 10
209,14 - 10
278,14 - 12
291,16 - 12
298,16 - 14
382,16 - 15
382,16 - 16
441,16 - 18
486,16 - 20
506,17 - 20
506,18 - 20
540,18 - 21
540,18 - 22
599,20 - 22
616,20 - 24
671,22 - 24
688,23 - 24
688,24 - 24
707,24 - 26
707,24 - 27
715,26 - 27
720,26 - 30
720,26 - 30
720,26 - 30
768,28 - 30
783,28 - 32
842,28 - 34
914,30 - 34
940,30 - 37
957,31 - 37
957,32 - 37
980,32 - 39
1026,34 - 39
1063,34 - 40
1063,34 - 41
1089,34 - 43
1211,36 - 43
1237,36 - 46
1282,37 - 46
1300,37 - 48
1329,40 - 48
1396,41 - 48
1396,42 - 48
1404,42 - 50
1404,42 - 51
1438,42 - 53
1440,42 - 53
1440,42 - 53
1463,42 - 55
1504,44 - 55
1522,44 - 57
1548,44 - 59
1570,46 - 59
1570,47 - 59
1604,49 - 59
1656,49 - 61
1706,49 - 62
1706,49 - 63
1730,52 - 63
1756,52 - 64
1774,54 - 64
1788,54 - 66
1807,56 - 66
1835,58 - 66
1835,59 - 66
1866,61 - 66
1886,61 - 68
1914,61 - 70
1964,61 - 72
1991,64 - 72
2004,64 - 75
2028,64 - 76
2028,64 - 77
2058,64 - 79
2088,64 - 81
2117,64 - 83
2130,66 - 83
2138,66 - 86
2156,68 - 86
2160,68 - 86
2160,68 - 86
2211,68 - 88
2247,68 - 90
2275,71 - 90
2290,71 - 92
2310,71 - 94
2334,71 - 96
2366,71 - 98
2390,73 - 98
2470,76 - 98
2490,76 - 100
2517,78 - 100
2568,78 - 102
2588,79 - 102
2600,80 - 102
2600,81 - 102
2616,81 - 103
2616,81 - 104
2689,81 - 106
2705,82 - 106
2764,84 - 106
2782,84 - 107
2792,85 - 107
2799,88 - 107
2817,88 - 108
2829,91 - 108
2838,91 - 110
2849,93 - 110
2863,93 - 112
2877,96 - 112
2880,96 - 112
