CUMULATIVE_TIME,SCORE
47,0 - 2
67,1 - 2
106,3 - 2
125,3 - 4
136,3 - 6
188,5 - 6
225,7 - 6
240,7 - 8
265,9 - 8
278,9 - 10
301,9 - 12
315,11 - 12
334,11 - 14
370,13 - 14
387,13 - 16
408,16 - 16
427,16 - 18
449,16 - 20
549,16 - 22
576,16 - 24
619,16 - 26
637,19 - 26
648,19 - 28
665,21 - 28
677,21 - 31
692,23 - 31
712,23 - 33
720,23 - 33
720,23 - 33
765,26 - 33
801,28 - 33
820,28 - 36
848,30 - 36
862,30 - 38
879,32 - 38
879,33 - 38
902,33 - 40
913,35 - 40
934,36 - 40
949,36 - 42
965,38 - 42
982,38 - 45
1023,38 - 47
1036,40 - 47
1036,41 - 47
1088,43 - 47
1120,43 - 49
1143,45 - 49
1173,47 - 49
1204,47 - 50
1204,47 - 51
1227,49 - 51
1238,49 - 52
1244,49 - 55
1264,51 - 55
1278,51 - 57
1440,51 - 57
1440,51 - 57
1500,51 - 59
1517,53 - 59
1539,53 - 61
1558,55 - 61
1573,58 - 61
1594,58 - 64
1660,58 - 65
1660,58 - 66
1724,58 - 67
1745,60 - 67
1770,62 - 67
1788,62 - 70
1804,64 - 70
1835,66 - 70
1853,66 - 71
1889,66 - 72
1889,66 - 73
1919,66 - 75
1928,67 - 75
1928,68 - 75
1939,68 - 77
1950,71 - 77
2027,71 - 79
2039,72 - 79
2039,73 - 79
2050,73 - 81
2071,75 - 81
2091,75 - 84
2122,77 - 84
2130,77 - 85
2130,77 - 86
2149,80 - 86
2160,80 - 86
2160,80 - 86
2175,83 - 86
2217,83 - 88
2217,83 - 89
2233,85 - 89
2253,85 - 91
2286,86 - 91
2286,87 - 91
2304,90 - 91
2335,90 - 94
2343,92 - 94
2359,92 - 97
2392,92 - 99
2406,93 - 99
2406,94 - 99
2490,94 - 101
2508,96 - 101
2526,96 - 104
2640,96 - 106
2651,99 - 106
2671,99 - 108
2685,102 - 108
2736,105 - 108
2777,106 - 108
2811,108 - 108
2879,108 - 110
2880,108 - 110
