CUMULATIVE_TIME,SCORE
53,0 - 2
73,0 - 5
82,2 - 5
140,4 - 5
162,6 - 5
215,8 - 5
234,8 - 7
250,11 - 7
269,11 - 9
317,13 - 9
353,13 - 10
393,13 - 12
407,15 - 12
426,15 - 14
426,15 - 15
453,15 - 17
481,15 - 19
497,18 - 19
513,18 - 21
530,19 - 21
546,19 - 24
603,21 - 24
631,23 - 24
640,23 - 26
713,25 - 26
720,25 - 26
720,25 - 26
746,25 - 29
764,27 - 29
786,29 - 29
825,29 - 31
848,29 - 33
894,31 - 33
915,33 - 33
937,33 - 34
937,33 - 35
969,33 - 36
969,33 - 37
1012,33 - 40
1040,35 - 40
1064,37 - 40
1091,37 - 42
1109,39 - 42
1148,41 - 42
1185,41 - 45
1263,44 - 45
1282,44 - 47
1313,44 - 49
1322,47 - 49
1348,47 - 51
1354,49 - 51
1374,49 - 53
1385,51 - 53
1416,53 - 53
1440,53 - 53
1440,53 - 53
1478,55 - 53
1478,56 - 53
1496,56 - 55
1518,58 - 55
1556,61 - 55
1577,61 - 57
1593,64 - 57
1613,64 - 59
1622,66 - 59
1633,66 - 61
1641,69 - 61
1641,70 - 61
1668,73 - 61
1685,73 - 63
1702,76 - 63
1724,76 - 65
1746,76 - 67
1779,76 - 68
1779,76 - 69
1873,76 - 70
1881,78 - 70
1906,81 - 70
1922,81 - 72
1933,84 - 72
1962,86 - 72
1988,88 - 72
2011,88 - 74
2040,88 - 76
2086,90 - 76
2106,90 - 77
2106,90 - 78
2114,91 - 78
2114,92 - 78
2138,94 - 78
2156,94 - 79
2156,94 - 80
2160,97 - 80
2160,97 - 80
2160,97 - 80
2185,99 - 80
2228,99 - 83
2250,100 - 83
2250,101 - 83
2295,103 - 83
2343,103 - 84
2343,103 - 85
2439,103 - 87
2455,105 - 87
2489,105 - 89
2517,107 - 89
2536,107 - 90
2556,110 - 90
2570,110 - 91
2570,110 - 92
2590,112 - 92
2607,112 - 95
2637,112 - 97
2637,112 - 98
2672,113 - 98
2672,114 - 98
2687,114 - 99
2718,114 - 101
2728,115 - 101
2728,116 - 101
2775,116 - 103
2833,116 - 105
2880,116 - 105
