CUMULATIVE_TIME,SCORE
54,0 - 2
77,3 - 2
99,3 - 5
109,5 - 5
169,7 - 5
190,7 - 7
199,9 - 7
249,11 - 7
270,11 - 9
291,11 - 10
291,11 - 11
300,13 - 11
311,13 - 13
353,16 - 13
390,18 - 13
410,18 - 16
445,20 - 16
445,21 - 16
460,21 - 18
483,23 - 18
534,25 - 18
560,25 - 20
592,25 - 22
623,28 - 22
661,31 - 22
670,31 - 23
670,31 - 24
720,31 - 24
720,31 - 24
782,33 - 24
804,34 - 24
844,36 - 24
856,36 - 25
896,39 - 25
917,39 - 27
987,39 - 29
1020,39 - 31
1053,39 - 33
1074,42 - 33
1099,42 - 35
1161,42 - 37
1180,42 - 39
1210,42 - 41
1223,43 - 41
1223,44 - 41
1268,47 - 41
1288,47 - 42
1324,47 - 45
1335,49 - 45
1388,50 - 45
1400,50 - 47
1406,52 - 47
1419,53 - 47
1419,54 - 47
1439,54 - 49
1440,54 - 49
1440,54 - 49
1486,56 - 49
1517,59 - 49
1534,59 - 50
1534,59 - 51
1556,59 - 53
1568,62 - 53
1592,62 - 55
1636,65 - 55
1677,65 - 56
1677,65 - 57
1689,68 - 57
1746,68 - 59
1758,70 - 59
1808,72 - 59
1843,74 - 59
1875,77 - 59
1917,80 - 59
1938,80 - 61
1973,82 - 61
1974,83 - 61
1998,83 - 63
2016,84 - 63
2016,85 - 63
2111,85 - 65
2160,85 - 65
2160,85 - 65
2160,85 - 65
2239,85 - 67
2293,87 - 67
2390,87 - 69
2428,87 - 71
2459,87 - 73
2527,87 - 75
2552,89 - 75
2624,92 - 75
2655,93 - 75
2655,94 - 75
2655,95 - 75
2679,95 - 78
2694,97 - 78
2732,100 - 78
2748,100 - 81
2769,100 - 83
2782,103 - 83
2792,105 - 83
2830,107 - 83
2855,107 - 84
2880,107 - 84
