CUMULATIVE_TIME,SCORE
15,0 - 2
35,2 - 2
98,5 - 2
117,5 - 4
171,7 - 4
184,7 - 6
201,9 - 6
222,11 - 6
243,12 - 6
243,13 - 6
255,13 - 9
308,13 - 11
328,15 - 11
328,16 - 11
368,16 - 13
418,16 - 16
432,18 - 16
440,18 - 17
440,18 - 18
455,20 - 18
480,22 - 18
494,22 - 20
521,22 - 22
553,22 - 24
566,24 - 24
584,26 - 24
589,26 - 27
610,28 - 27
635,28 - 29
654,30 - 29
680,32 - 29
680,33 - 29
719,35 - 29
720,35 - 29
720,35 - 29
742,37 - 29
764,37 - 31
788,39 - 31
804,39 - 33
818,41 - 33
966,43 - 33
982,43 - 36
1001,43 - 38
1001,43 - 39
1032,43 - 40
1032,43 - 41
1032,43 - 42
1077,43 - 43
1077,43 - 44
1100,43 - 47
1120,45 - 47
1152,45 - 48
1152,45 - 49
1188,45 - 51
1188,45 - 52
1234,47 - 52
1272,47 - 54
1320,47 - 56
1336,47 - 58
1351,48 - 58
1351,49 - 58
1382,50 - 58
1382,51 - 58
1411,51 - 59
1432,53 - 59
1437,53 - 61
1440,54 - 61
1440,55 - 61
1440,55 - 61
1440,55 - 61
1491,57 - 61
1506,57 - 64
1562,57 - 66
1575,59 - 66
1600,61 - 66
1636,61 - 68
1664,63 - 68
1682,65 - 68
1699,65 - 70
1734,67 - 70
1746,67 - 72
1764,67 - 74
1795,70 - 74
1801,70 - 76
1826,73 - 76
1852,73 - 79
1867,74 - 79
1872,74 - 81
1872,74 - 82
1883,76 - 82
1910,78 - 82
1920,78 - 83
1942,80 - 83
1960,80 - 85
1992,80 - 88
2006,82 - 88
2026,82 - 91
2041,84 - 91
2077,86 - 91
2127,86 - 93
2160,86 - 93
2160,86 - 93
2177,86 - 95
2199,87 - 95
2199,88 - 95
2221,88 - 97
2237,90 - 97
2325,90 - 99
2378,91 - 99
2378,92 - 99
2409,92 - 101
2423,94 - 101
2458,94 - 103
2518,94 - 106
2540,95 - 106
2540,95 - 107
2540,95 - 108
2555,95 - 110
2605,95 - 111
2627,97 - 111
2700,97 - 113
2706,99 - 113
2706,100 - 113
2724,100 - 114
2724,100 - 115
2745,100 - 117
2765,100 - 120
2775,100 - 121
2775,100 - 122
2777,101 - 122
2798,104 - 122
2820,104 - 124
2840,104 - 125
2865,104 - 126
2865,104 - 127
2880,104 - 127
