CUMULATIVE_TIME,SCORE
16,0 - 2
31,2 - 2
74,2 - 5
118,2 - 7
138,4 - 7
164,6 - 7
186,6 - 9
269,9 - 9
347,9 - 11
373,11 - 11
450,13 - 11
485,16 - 11
512,16 - 13
553,19 - 13
639,19 - 16
647,21 - 16
656,21 - 19
672,23 - 19
693,25 - 19
714,25 - 20
714,25 - 21
720,25 - 21
720,25 - 21
743,25 - 24
780,28 - 24
806,30 - 24
850,32 - 24
868,32 - 27
882,34 - 27
900,34 - 28
900,34 - 29
919,34 - 31
926,34 - 34
949,36 - 34
1061,36 - 36
1101,38 - 36
1133,40 - 36
1168,42 - 36
1202,42 - 38
1233,42 - 40
1249,44 - 40
1263,44 - 41
1263,44 - 42
1272,46 - 42
1288,46 - 44
1301,48 - 44
1336,48 - 47
1393,50 - 47
1415,50 - 48
1415,50 - 49
1415,50 - 50
1435,50 - 51
1435,50 - 52
1440,51 - 52
1440,52 - 52
1440,52 - 52
1440,52 - 52
1453,54 - 52
1479,54 - 54
1506,54 - 56
1548,54 - 59
1578,54 - 61
1598,55 - 61
1610,55 - 64
1627,56 - 64
1627,57 - 64
1627,58 - 64
1638,58 - 65
1638,58 - 66
1672,60 - 66
1687,60 - 68
1726,60 - 70
1744,63 - 70
1771,66 - 70
1788,66 - 71
1788,66 - 72
1819,69 - 72
1857,71 - 72
1886,71 - 73
1886,71 - 74
1897,74 - 74
1922,74 - 77
1934,77 - 77
1958,77 - 79
1971,78 - 79
1981,78 - 81
2010,80 - 81
2030,80 - 82
2030,80 - 83
2095,83 - 83
2118,83 - 86
2138,83 - 89
2153,84 - 89
2153,85 - 89
2160,85 - 89
2160,85 - 89
2178,85 - 91
2241,87 - 91
2256,87 - 93
2276,90 - 93
2287,90 - 96
2326,90 - 98
2368,90 - 99
2368,90 - 100
2388,92 - 100
2416,94 - 100
2432,94 - 102
2446,96 - 102
2473,97 - 102
2517,99 - 102
2530,99 - 103
2530,99 - 104
2591,99 - 106
2605,101 - 106
2625,101 - 109
2640,103 - 109
2661,103 - 112
2685,103 - 113
2685,103 - 114
2702,106 - 114
2736,108 - 114
2790,108 - 116
2804,108 - 117
2804,108 - 118
2810,110 - 118
2830,112 - 118
2834,112 - 119
2834,112 - 120
2845,114 - 120
2851,114 - 121
2851,114 - 122
2867,116 - 122
2869,116 - 123
2869,116 - 124
2880,116 - 124
